linguagem,tipo_api,carga,usuarios,spawn_rate,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
java,soap,leve,100,15,POST,SOAP_getPlaylistsByMusica,706,0,7,40.0404156982996,3.287007999972502,3113.4355309999933,460.0,11.92786661226502,0.0,7,10,12,13,19,34,92,1100,3100,3100,3100
java,soap,leve,100,15,POST,SOAP_getPlaylistsByUsuario,683,0,7,15.695715464130398,3.230038000026525,567.9807099999721,359.0,11.539281722630324,0.0,7,10,12,13,18,31,80,200,570,570,570
java,soap,leve,100,15,POST,SOAP_getTodasMusicas,734,0,21,44.965425452316985,9.88939400002664,1852.282917000025,113923.0,12.40092647790726,0.0,21,31,38,43,62,86,230,510,1900,1900,1900
java,soap,leve,100,15,POST,SOAP_getTodosUsuarios,707,0,21,51.80680282602547,10.129090000020824,1822.2174010000456,104036.0,11.944761607466528,0.0,21,31,39,43,62,82,200,830,1800,1800,1800
java,soap,leve,100,15,,Aggregated,2830,0,13,38.38188658127246,3.230038000026525,3113.4355309999933,55739.53745583039,47.81283642026913,0.0,13,18,25,31,47,68,130,560,3100,3100,3100
java,graphql,leve,100,15,POST,playlistsDoUsuario,565,0,9,10.393285884955588,2.4089819999062456,363.6622969999621,91.0,9.550310585559403,0.0,9,11,12,13,16,21,36,39,360,360,360
java,graphql,leve,100,15,POST,playlistsPorMusica,1132,0,9,12.338457834804888,2.4030340000535944,376.26132899998765,91.0,19.134427580271232,0.0,9,11,12,13,16,22,45,110,370,380,380
java,graphql,leve,100,15,POST,todasAsMusicas,558,0,9,12.899697740142267,2.329939999981434,377.1795760000032,91.0,9.431988153525928,0.0,9,11,12,13,16,21,49,130,380,380,380
java,graphql,leve,100,15,POST,todosUsuarios,580,0,9,11.408489736205816,2.41007499994339,388.3402140000385,91.0,9.803858654202577,0.0,9,11,12,13,16,22,36,64,390,390,390
java,graphql,leve,100,15,,Aggregated,2835,0,9,11.871003943561806,2.329939999981434,388.3402140000385,91.0,47.92058497355914,0.0,9,11,12,13,16,22,41,73,380,390,390
