Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777234063,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777234064,75,,Aggregated,0.000000,0.000000,630,710,780,790,860,860,880,900,900,900,900,75,0,630,628.6975244799396,356.371602989384,903.4317049954552,134499.16
1777234065,150,,Aggregated,0.000000,0.000000,540,630,690,720,790,860,860,880,900,900,900,155,0,540,516.7332862840868,113.00154900527559,903.4317049954552,168059.85161290324
1777234066,150,,Aggregated,0.000000,0.000000,430,550,630,660,780,850,860,860,900,900,900,212,0,430,413.4964292023588,67.93588900472969,903.4317049954552,171671.34905660377
1777234067,150,,Aggregated,37.500000,0.000000,230,450,550,630,720,790,860,860,900,900,900,288,0,230,326.9358917877475,67.93588900472969,903.4317049954552,168597.82986111112
1777234068,150,,Aggregated,53.333333,0.000000,110,340,450,540,700,780,860,860,900,900,900,369,0,110,274.90393057976485,64.91262000054121,903.4317049954552,168290.17073170733
1777234069,150,,Aggregated,56.750000,0.000000,100,240,430,480,660,780,860,860,900,900,900,425,0,100,253.71245563978687,64.91262000054121,903.4317049954552,169425.89176470588
1777234070,150,,Aggregated,59.200000,0.000000,97,140,340,440,640,740,850,860,900,900,900,504,0,97,228.0195076209999,64.91262000054121,903.4317049954552,165562.74801587302
1777234071,150,,Aggregated,62.333333,0.000000,94,110,250,370,630,720,810,860,900,900,900,572,0,94,211.02387448436465,64.86979201145004,903.4317049954552,158851.77272727274
1777234072,150,,Aggregated,62.571429,0.000000,93,110,190,340,560,710,800,860,900,900,900,648,0,93,197.94077090281698,64.86979201145004,903.4317049954552,154574.12191358025
1777234073,150,,Aggregated,64.000000,0.000000,91,100,140,260,550,700,790,860,900,900,900,716,0,91,186.85334214253555,64.86979201145004,903.4317049954552,151966.51815642457
1777234074,150,,Aggregated,63.777778,0.000000,89,98,120,220,540,680,790,860,900,900,900,783,0,89,177.87886084176557,64.86979201145004,903.4317049954552,153613.2962962963
1777234075,150,,Aggregated,65.400000,0.000000,89,98,130,200,480,660,780,860,900,900,900,861,0,89,173.56898218945858,64.86979201145004,903.4317049954552,154842.37166085947
1777234076,150,,Aggregated,72.000000,0.000000,89,96,110,160,450,640,780,860,900,900,900,933,0,89,166.38975856184177,64.86979201145004,903.4317049954552,155356.66666666666
1777234077,150,,Aggregated,71.300000,0.000000,88,95,110,140,440,640,780,850,880,900,900,1006,0,88,160.16817289686293,64.86979201145004,903.4317049954552,156076.92147117297
1777234078,150,,Aggregated,71.000000,0.000000,88,95,110,150,410,630,780,850,880,900,900,1079,0,88,158.76537024580423,64.86979201145004,903.4317049954552,157081.4485634847
1777234079,150,,Aggregated,70.900000,0.000000,87,94,100,140,360,630,740,810,880,900,900,1154,0,87,153.6852184308089,63.9344999945024,903.4317049954552,155260.31629116117
1777234080,150,,Aggregated,71.400000,0.000000,87,93,100,120,350,610,740,800,880,900,900,1229,0,87,149.38280998870403,63.9344999945024,903.4317049954552,157647.85191212367
1777234081,150,,Aggregated,70.600000,0.000000,87,94,100,130,340,560,740,800,880,900,900,1295,0,87,148.2324517065925,63.06253898947034,903.4317049954552,156871.27335907336
