Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777233154,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777233155,75,,Aggregated,0.000000,0.000000,770,870,890,890,900,950,950,950,950,950,950,72,0,770,653.3009553889618,189.88534499658272,948.1361340003787,184200.90277777778
1777233156,150,,Aggregated,0.000000,0.000000,470,710,770,780,890,940,950,980,990,990,990,157,0,470,528.1737496307828,84.00718800839968,987.6917420042446,171497.974522293
1777233157,225,,Aggregated,24.000000,0.000000,400,530,630,710,880,900,950,960,990,990,990,254,0,390,466.8372003074555,84.00718800839968,987.6917420042446,167704.29133858267
1777233158,300,,Aggregated,60.500000,0.000000,450,550,610,680,770,890,950,990,1100,1100,1100,426,0,440,473.7379248124195,84.00718800839968,1146.1143650085432,176751.68309859154
1777233159,375,,Aggregated,65.333333,0.000000,450,570,650,700,820,900,1100,1200,1200,1200,1200,573,0,450,491.01297711535705,84.00718800839968,1190.788241001428,175716.16579406633
1777233160,450,,Aggregated,83.000000,0.000000,500,590,660,700,800,900,1100,1100,1200,1200,1200,745,0,500,508.7082132417201,84.00718800839968,1190.788241001428,168623.76644295303
1777233161,525,,Aggregated,96.800000,0.000000,510,600,650,690,790,900,1100,1100,1200,1200,1200,825,0,510,515.0383127480393,84.00718800839968,1190.788241001428,166172.36242424243
1777233162,600,,Aggregated,107.333333,0.000000,500,610,690,750,1100,1500,2500,2700,2800,2800,2800,1088,222,490,590.699401797819,44.42260599171277,2787.539202006883,133368.0625
1777233163,675,,Aggregated,111.142857,0.000000,530,700,840,1100,2200,2600,2900,3100,3400,3600,3600,1377,383,530,773.6606086391381,44.42260599171277,3607.115901002544,120742.37835875091
