Teste,Conteudo,Instancias,Usuarios,Requisicoes,Falhas,Erro,TempoMedio,Mediana,P95,RPS
Carga leve,Imagem 1MB,1,150,2933,0,0.0,109,83,270,24.5
Carga leve,Imagem 300KB,1,150,2803,0,0.0,106,83,260,23.42
Carga leve,Texto 400KB,1,150,2864,0,0.0,112,90,260,23.93
Carga média,Imagem 1MB,1,300,5376,0,0.0,280,210,680,44.84
Carga média,Imagem 300KB,1,300,5195,0,0.0,273,190,670,43.33
Carga média,Texto 400KB,1,300,5200,0,0.0,289,220,700,43.38
Carga pesada,Imagem 1MB,1,1500,14820,12411,83.74,1605,210,9700,123.25
Carga pesada,Imagem 300KB,1,1500,14824,12397,83.63,1583,240,9600,123.28
Carga pesada,Texto 400KB,1,1500,14823,12399,83.65,1631,240,9700,123.27
Carga leve,Imagem 1MB,2,150,2793,0,0.0,131,110,320,23.31
Carga leve,Imagem 300KB,2,150,2896,0,0.0,130,100,310,24.17
Carga leve,Texto 400KB,2,150,2771,0,0.0,141,110,330,23.13
Carga média,Imagem 1MB,2,300,4786,0,0.0,473,400,1000,40.06
Carga média,Imagem 300KB,2,300,4854,0,0.0,469,400,1000,40.62
Carga média,Texto 400KB,2,300,4841,0,0.0,499,430,1000,40.52
Carga pesada,Imagem 1MB,2,1500,9100,4721,51.88,3609,1600,18000,74.14
Carga pesada,Imagem 300KB,2,1500,9203,4708,51.16,3678,1600,18000,74.98
Carga pesada,Texto 400KB,2,1500,9261,4776,51.57,3801,1700,19000,75.45
Carga leve,Imagem 1MB,3,150,2722,0,0.0,128,97,320,22.73
Carga leve,Imagem 300KB,3,150,2872,0,0.0,133,99,310,23.99
Carga leve,Texto 400KB,3,150,2807,0,0.0,135,110,320,23.44
Carga média,Imagem 1MB,3,300,5409,0,0.0,240,160,600,45.28
Carga média,Imagem 300KB,3,300,5304,0,0.0,234,160,570,44.4
Carga média,Texto 400KB,3,300,5312,0,0.0,248,170,600,44.47
Carga pesada,Imagem 1MB,3,1500,11607,6241,53.77,2489,1100,11000,95.62
Carga pesada,Imagem 300KB,3,1500,11614,6133,52.81,2487,1100,11000,95.68
Carga pesada,Texto 400KB,3,1500,11877,6309,53.12,2590,1200,12000,97.84
