Teste,Carga,Conteudo,Cenario,Instancias,Usuarios,Requisicoes,Falhas,Erro,TempoMedio,Mediana,P95,RPS,ArquivoOrigem
Carga leve,leve,Imagem 1MB,post_imagem_1mb,1,150,3524,0,0.0,21.474736280362546,19.0,34.0,71.7384404991581,locust\resultados\leve\instancia_1\post_imagem_1mb\post_imagem_1mb_150_usuarios_stats.csv
Carga leve,leve,Imagem 300KB,post_imagem_300kb,1,150,3549,0,0.0,14.99764743392707,13.0,23.0,72.19665718894618,locust\resultados\leve\instancia_1\post_imagem_300kb\post_imagem_300kb_150_usuarios_stats.csv
Carga leve,leve,Texto 400KB,post_texto_400kb,1,150,3307,0,0.0,150.93854319292842,110.0,340.0,67.14768563648262,locust\resultados\leve\instancia_1\post_texto_400kb\post_texto_400kb_150_usuarios_stats.csv
Carga leve,leve,Todos,todos,1,150,3482,0,0.0,53.93598321108666,22.0,130.0,70.79746340647785,locust\resultados\leve\instancia_1\todos\todos_150_usuarios_stats.csv
Carga leve,leve,Imagem 1MB,post_imagem_1mb,2,150,3507,0,0.0,22.07252214598553,19.0,38.0,71.36405564134132,locust\resultados\leve\instancia_2\post_imagem_1mb\post_imagem_1mb_150_usuarios_stats.csv
Carga leve,leve,Imagem 300KB,post_imagem_300kb,2,150,3564,0,0.0,15.231690923961525,13.0,23.0,72.52212860608093,locust\resultados\leve\instancia_2\post_imagem_300kb\post_imagem_300kb_150_usuarios_stats.csv
Carga leve,leve,Texto 400KB,post_texto_400kb,2,150,3354,0,0.0,133.5065781666696,100.0,320.0,68.20765094327506,locust\resultados\leve\instancia_2\post_texto_400kb\post_texto_400kb_150_usuarios_stats.csv
Carga leve,leve,Todos,todos,2,150,3454,0,0.0,55.51822137522048,23.0,140.0,70.26505504952658,locust\resultados\leve\instancia_2\todos\todos_150_usuarios_stats.csv
Carga leve,leve,Imagem 1MB,post_imagem_1mb,3,150,3554,0,0.0,22.265241016325803,19.0,40.0,72.28518835858733,locust\resultados\leve\instancia_3\post_imagem_1mb\post_imagem_1mb_150_usuarios_stats.csv
Carga leve,leve,Imagem 300KB,post_imagem_300kb,3,150,3580,0,0.0,15.16554608463431,13.0,23.0,72.85643081930897,locust\resultados\leve\instancia_3\post_imagem_300kb\post_imagem_300kb_150_usuarios_stats.csv
Carga leve,leve,Texto 400KB,post_texto_400kb,3,150,3348,0,0.0,148.7589332401442,110.0,380.0,67.98257771320446,locust\resultados\leve\instancia_3\post_texto_400kb\post_texto_400kb_150_usuarios_stats.csv
Carga leve,leve,Todos,todos,3,150,3443,0,0.0,56.30165062011071,22.0,150.0,70.03550567709243,locust\resultados\leve\instancia_3\todos\todos_150_usuarios_stats.csv
Carga média,medio,Imagem 1MB,post_imagem_1mb,1,250,5684,0,0.0,22.7940250103808,19.0,47.0,115.5916021168868,locust\resultados\medio\instancia_1\post_imagem_1mb\post_imagem_1mb_250_usuarios_stats.csv
