| Teste        | Usuários | Instâncias | Requisições | Falhas | Erro (%) | Tempo médio (ms) | Mediana (ms) | P95 (ms) |    RPS |
| ------------ | -------: | ---------: | ----------: | -----: | -------: | ---------------: | -----------: | -------: | -----: |
| Carga leve   |      150 |          1 |       33122 |      0 |     0,00 |           120,53 |        93,75 |   282,50 |  69,32 |
| Carga leve   |      150 |          2 |       33112 |      0 |     0,00 |           122,13 |        98,75 |   285,00 |  69,28 |
| Carga leve   |      150 |          3 |       32808 |      0 |     0,00 |           148,67 |       107,50 |   377,50 |  68,54 |
| Carga média  |      250 |          1 |       51416 |      0 |     0,00 |           228,50 |       147,50 |   620,00 | 107,72 |
| Carga média  |      250 |          2 |       50207 |      0 |     0,00 |           285,74 |       195,00 |   807,50 | 105,03 |
| Carga média  |      250 |          3 |       43823 |    142 |     0,32 |           619,13 |       450,00 |  1650,00 |  91,97 |
| Carga pesada |      350 |          1 |       48872 |      0 |     0,00 |          1331,51 |       887,50 |  3700,00 | 102,21 |
| Carga pesada |      350 |          2 |       48870 |   4075 |     8,34 |          1193,72 |      1045,00 |  2725,00 | 102,27 |
| Carga pesada |      350 |          3 |       52616 |   3283 |     6,24 |           991,41 |       815,00 |  2450,00 | 110,17 |
