Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778387404,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387405,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387406,10,,Aggregated,0.000000,0.000000,1300,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,3,0,1300,1137.0732586662295,585.0673199993253,1538.9050249996217,227956.33333333334
1778387407,15,,Aggregated,0.000000,0.000000,1500,2300,2300,2300,2600,2600,2600,2600,2600,2600,2600,8,0,1300,1535.1842081249742,585.0673199993253,2568.931390000216,213863.125
1778387408,20,,Aggregated,0.000000,0.000000,2100,2300,2500,2600,2700,3000,3000,3000,3000,3000,3000,15,0,2100,1801.8265546001203,585.0673199993253,2977.831869000511,225958.33333333334
1778387409,25,,Aggregated,1.000000,0.000000,2100,2300,2500,2500,2700,3000,3000,3000,3000,3000,3000,16,0,1700,1794.9032165626022,585.0673199993253,2977.831869000511,213863.125
1778387410,30,,Aggregated,2.000000,0.000000,2100,2300,2600,2600,3100,3500,3800,3800,3800,3800,3800,27,0,2100,1997.810450926038,585.0673199993253,3766.0761990000537,177529.85185185185
1778387411,35,,Aggregated,3.000000,0.000000,2100,2300,2600,3000,3800,4200,4400,4400,4400,4400,4400,33,0,2100,2164.525209272859,585.0673199993253,4358.6211459996775,169434.30303030304
1778387412,40,,Aggregated,2.666667,0.000000,2300,2500,2700,3100,4200,4600,5000,5000,5000,5000,5000,42,0,2200,2371.3550072620174,585.0673199993253,4955.603880000126,162096.38095238095
1778387413,45,,Aggregated,3.857143,0.000000,2300,2600,3500,4100,4600,5000,5900,5900,5900,5900,5900,48,0,2300,2590.020848625083,585.0673199993253,5944.783988000381,165506.47916666666
1778387414,50,,Aggregated,4.125000,0.000000,2200,2600,3500,4200,5000,5800,5900,5900,5900,5900,5900,60,0,2200,2627.882958266718,585.0673199993253,5944.783988000381,154758.93333333332
1778387415,55,,Aggregated,4.666667,0.000000,2200,2600,4000,4400,5500,5800,5900,6400,6400,6400,6400,69,0,2200,2773.090650898574,585.0673199993253,6371.595161000187,150603.26086956522
1778387416,60,,Aggregated,5.000000,0.000000,2300,2700,4200,4600,5800,6200,6800,6900,6900,6900,6900,74,0,2300,2920.5960640135486,585.0673199993253,6898.148854999818,154301.47297297296
1778387417,65,,Aggregated,6.100000,0.000000,2400,3200,4400,5000,5900,6500,6800,6900,6900,6900,6900,85,0,2400,3101.808594247096,585.0673199993253,6898.148854999818,150159.63529411764
1778387418,70,,Aggregated,6.900000,0.000000,2600,3300,4400,5000,5900,6600,6800,6900,6900,6900,6900,95,0,2600,3165.0924392316233,585.0673199993253,6898.148854999818,143307.13684210528
1778387419,75,,Aggregated,7.100000,0.000000,2600,3300,4400,5400,6400,6800,8200,8300,9800,9800,9800,103,0,2600,3345.220853534017,585.0673199993253,9822.492139999667,146628.49514563108
1778387420,80,,Aggregated,7.700000,0.000000,2700,3400,4600,5400,6600,8100,8300,8500,9800,9800,9800,112,0,2700,3455.0943128214644,585.0673199993253,9822.492139999667,143617.94642857142
