Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777433005,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777433006,12,,Aggregated,0.000000,0.000000,820,840,950,950,960,960,960,960,960,960,960,7,0,820,851.3589230000044,792.2600059999922,962.0507629999793,436725.0
1777433007,24,,Aggregated,0.000000,0.000000,790,820,960,1000,1000,1100,1100,1100,1100,1100,1100,24,0,430,616.2028403333294,123.46261599998343,1078.7083619999862,436725.0
1777433008,36,,Aggregated,0.000000,0.000000,460,630,800,820,1000,1000,1100,1100,1100,1100,1100,43,0,460,547.9790904651095,123.46261599998343,1078.7083619999862,436725.0
1777433009,48,,Aggregated,7.500000,0.000000,370,440,590,630,840,1000,1100,1100,1100,1100,1100,72,0,370,430.0522475694422,98.74748499998987,1078.7083619999862,436725.0
1777433010,60,,Aggregated,8.333333,0.000000,330,410,480,510,800,960,1000,1100,1100,1100,1100,103,0,330,383.56927304854236,66.78091399999175,1078.7083619999862,436725.0
1777433011,72,,Aggregated,12.750000,0.000000,360,460,510,580,710,950,1000,1100,1100,1100,1100,131,0,360,404.36960832824315,66.78091399999175,1078.7083619999862,436725.0
1777433012,84,,Aggregated,15.000000,0.000000,380,490,520,560,640,820,1000,1100,1100,1100,1100,165,0,380,414.8205310484854,66.78091399999175,1078.7083619999862,436725.0
1777433013,96,,Aggregated,17.166667,0.000000,440,540,610,710,840,960,1000,1100,1100,1100,1100,196,0,440,477.3283989336742,66.78091399999175,1104.0471979999893,436725.0
1777433014,108,,Aggregated,19.428571,0.000000,500,600,790,840,960,1100,1300,1400,1500,1500,1500,224,0,500,547.9267062366077,66.78091399999175,1455.6933669999808,436725.0
1777433015,120,,Aggregated,21.125000,0.000000,520,740,870,950,1200,1400,1600,1800,1900,1900,1900,248,0,520,630.1966524475818,66.78091399999175,1880.2150189999907,436725.0
1777433016,132,,Aggregated,22.222222,0.000000,560,830,960,1100,1500,1700,1900,2000,2100,2100,2100,269,0,560,715.7483799814137,66.78091399999175,2118.7470370000483,436725.0
1777433017,144,,Aggregated,22.900000,0.000000,600,910,1200,1300,1800,2300,2700,2800,2800,2800,2800,290,0,600,837.9417445482763,66.78091399999175,2841.748392999989,436725.0
1777433018,150,,Aggregated,25.800000,0.000000,710,1000,1300,1500,2400,2800,3100,3300,3700,3700,3700,310,0,670,975.7370756838715,66.78091399999175,3702.4810780000053,436725.0
1777433019,150,,Aggregated,25.500000,0.000000,770,1200,1500,1800,2700,3100,3700,3800,4300,4300,4300,329,0,770,1087.640710917934,66.78091399999175,4258.371023999985,436725.0
1777433020,150,,Aggregated,27.000000,0.000000,840,1400,1900,2300,3100,3800,4300,4500,4900,4900,4900,362,0,840,1305.4667642403324,66.78091399999175,4894.557064000026,436725.0
1777433021,150,,Aggregated,26.600000,0.000000,900,1500,2200,2700,3800,4400,4800,5100,5700,5700,5700,383,0,900,1478.473097342037,66.78091399999175,5697.356134000018,436725.0
1777433022,150,,Aggregated,26.400000,0.000000,950,1700,2400,2800,4000,4700,5200,5600,5900,5900,5900,395,0,950,1567.5505954506332,66.78091399999175,5852.23131500004,436725.0
1777433023,150,,Aggregated,26.500000,0.000000,1000,1900,2700,3100,4500,5200,5700,6300,6700,6700,6700,413,0,1000,1735.173108118645,66.78091399999175,6704.236573999992,436725.0
1777433024,150,,Aggregated,25.400000,0.000000,1100,2100,2800,3400,4700,5400,5900,6300,6700,6700,6700,435,0,1100,1826.211107678162,66.78091399999175,6704.236573999992,436725.0
1777433025,150,,Aggregated,22.700000,0.000000,1200,2400,3100,3800,5000,5600,6600,7200,7700,7700,7700,467,0,1200,2008.8969462376883,66.78091399999175,7746.78746699999,436725.0
1777433026,150,,Aggregated,21.800000,0.000000,1400,2700,3600,4100,5400,6300,7200,7600,8500,8500,8500,502,0,1400,2196.5913573346616,66.78091399999175,8512.002904999974,436725.0
1777433027,150,,Aggregated,20.900000,0.000000,1500,2900,4000,4600,5600,6400,7300,7700,8500,8500,8500,545,0,1500,2355.9119460330276,66.78091399999175,8512.002904999974,436725.0
1777433028,150,,Aggregated,21.500000,0.000000,1700,3000,4000,4600,5600,6400,7200,7700,8500,8500,8500,575,0,1700,2397.277073168696,66.78091399999175,8512.002904999974,436725.0
1777433029,150,,Aggregated,24.300000,0.000000,1800,3000,4000,4600,5600,6400,7200,7600,8500,8500,8500,609,0,1800,2435.4952444975365,66.78091399999175,8512.002904999974,436725.0
1777433030,150,,Aggregated,25.800000,0.000000,1800,3000,3800,4400,5600,6300,7200,7600,8500,8500,8500,641,0,1800,2424.8611851560063,66.78091399999175,8512.002904999974,436725.0
1777433031,150,,Aggregated,27.000000,0.000000,2000,3000,3800,4300,5500,6300,7200,7600,8500,8500,8500,670,0,1900,2429.406328613433,66.78091399999175,8512.002904999974,436725.0
1777433032,150,,Aggregated,27.500000,0.000000,2000,3000,3600,4100,5400,6300,7100,7500,8500,8500,8500,713,0,2000,2421.738581157083,66.78091399999175,8512.002904999974,436725.0
1777433033,150,,Aggregated,28.100000,0.000000,2100,3100,3600,4000,5400,6300,7100,7500,8500,8500,8500,754,0,2100,2443.1465039336867,66.78091399999175,8512.002904999974,436725.0
1777433034,150,,Aggregated,28.900000,0.000000,2100,3000,3500,4000,5300,6200,7100,7500,8500,8500,8500,790,0,2100,2431.292159098735,66.78091399999175,8512.002904999974,436725.0
1777433035,150,,Aggregated,33.300000,0.000000,2100,3000,3400,3800,5300,6200,6800,7400,8500,8500,8500,822,0,2100,2412.7487930583957,66.78091399999175,8512.002904999974,436725.0
1777433036,150,,Aggregated,34.000000,0.000000,2100,2900,3400,3800,5200,6200,6700,7400,8500,8500,8500,859,0,2100,2391.9002423760207,66.78091399999175,8512.002904999974,436725.0
1777433037,150,,Aggregated,36.000000,0.000000,2100,2900,3300,3700,5100,6000,6700,7400,8500,8500,8500,889,0,2100,2378.3580844960657,66.78091399999175,8512.002904999974,436725.0
1777433038,150,,Aggregated,35.800000,0.000000,2200,2900,3300,3600,5100,6000,6700,7400,8500,8500,8500,930,0,2200,2384.588212427959,66.78091399999175,8512.002904999974,436725.0
1777433039,150,,Aggregated,35.200000,0.000000,2200,2900,3200,3600,5000,5900,6600,7400,8500,8500,8500,965,0,2200,2388.93973467565,66.78091399999175,8512.002904999974,436725.0
1777433040,150,,Aggregated,34.200000,0.000000,2200,2900,3200,3500,5000,5900,6600,7400,8500,8500,8500,995,0,2200,2379.7147111929676,66.78091399999175,8512.002904999974,436725.0
1777433041,150,,Aggregated,34.700000,0.000000,2200,2800,3200,3500,4900,5900,6600,7300,8200,8500,8500,1020,0,2200,2360.4982482225514,66.78091399999175,8512.002904999974,436725.0
1777433042,150,,Aggregated,35.700000,0.000000,2200,2900,3200,3500,4900,5800,6600,7300,8200,8500,8500,1049,0,2200,2358.243603458534,66.78091399999175,8512.002904999974,436725.0
1777433043,150,,Aggregated,34.900000,0.000000,2200,2900,3200,3600,4800,5800,6600,7300,8200,8500,8500,1084,0,2200,2373.533517435426,66.78091399999175,8512.002904999974,436725.0
1777433044,150,,Aggregated,34.600000,0.000000,2200,2900,3300,3600,4800,5700,6600,7200,8200,8500,8500,1112,0,2200,2374.6079949802183,66.78091399999175,8512.002904999974,436725.0
1777433045,150,,Aggregated,32.300000,0.000000,2300,2900,3300,3700,4800,5700,6600,7200,8200,8500,8500,1152,0,2300,2413.362054238716,66.78091399999175,8512.002904999974,436725.0
1777433046,150,,Aggregated,33.000000,0.000000,2300,3000,3400,3700,4800,5700,6600,7200,8200,8500,8500,1181,0,2300,2431.441348029637,66.78091399999175,8512.002904999974,436725.0
1777433047,150,,Aggregated,32.200000,0.000000,2300,3000,3400,3700,4800,5700,6600,7200,8200,8500,8500,1196,0,2300,2425.925252494149,66.78091399999175,8512.002904999974,436725.0
1777433048,150,,Aggregated,33.200000,0.000000,2300,3000,3400,3700,4800,5700,6500,7200,8200,8500,8500,1217,0,2300,2431.282198556288,66.78091399999175,8512.002904999974,436725.0
1777433049,150,,Aggregated,31.900000,0.000000,2300,3000,3400,3800,4900,5600,6500,7200,8200,8500,8500,1246,0,2300,2446.1903943739994,66.78091399999175,8512.002904999974,436725.0
1777433050,150,,Aggregated,30.300000,0.000000,2300,3000,3400,3800,4900,5600,6500,7200,8200,8500,8500,1273,0,2300,2459.6051633370016,66.78091399999175,8512.002904999974,436725.0
1777433051,150,,Aggregated,29.000000,0.000000,2400,3000,3500,4000,5000,5700,6500,7200,8200,8500,8500,1309,0,2400,2519.3637735095513,66.78091399999175,8512.002904999974,436725.0
1777433052,150,,Aggregated,27.800000,0.000000,2400,3100,3600,4000,5100,5600,6400,7200,8200,8500,8500,1358,0,2400,2559.148165484537,66.78091399999175,8512.002904999974,436725.0
1777433053,150,,Aggregated,27.900000,0.000000,2400,3100,3600,4000,5000,5600,6400,7100,8200,8500,8500,1403,0,2400,2552.991572328582,66.78091399999175,8512.002904999974,436725.0
1777433054,150,,Aggregated,29.000000,0.000000,2400,3100,3600,4000,5000,5600,6400,7100,8200,8500,8500,1434,0,2400,2539.0767809602507,66.78091399999175,8512.002904999974,436725.0
