Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777433438,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777433439,12,,Aggregated,0.000000,0.000000,300,300,340,340,350,350,350,350,350,350,350,12,0,280,268.2629125000157,152.25491599994712,349.3338330000597,267362.1666666667
1777433440,24,,Aggregated,0.000000,0.000000,210,230,280,300,340,350,350,350,350,350,350,28,0,210,204.8269569642928,31.14429000004293,349.3338330000597,175479.7142857143
1777433441,36,,Aggregated,0.000000,0.000000,190,220,260,280,340,350,360,380,380,380,380,56,0,190,187.75516319643617,31.14429000004293,378.35161199996037,204499.0
1777433442,48,,Aggregated,6.000000,0.000000,190,220,260,280,330,350,370,380,380,380,380,76,0,180,183.3269135000041,31.14429000004293,378.35161199996037,206782.44736842104
1777433443,60,,Aggregated,9.666667,0.000000,190,240,270,310,350,560,610,630,740,740,740,114,0,190,214.50089175438615,31.14429000004293,735.5241540000179,197870.81578947368
1777433444,72,,Aggregated,14.000000,0.000000,190,240,270,300,370,540,610,630,740,740,740,154,0,190,211.7414057922077,31.14429000004293,735.5241540000179,186014.25324675324
1777433445,84,,Aggregated,15.200000,0.000000,190,240,270,300,380,540,610,630,740,740,740,188,0,190,210.2625304627669,31.14429000004293,735.5241540000179,188119.3244680851
1777433446,96,,Aggregated,19.000000,0.000000,200,260,300,340,400,560,690,830,920,920,920,226,0,200,230.983671035401,31.14429000004293,921.1493909999717,172378.66371681416
1777433447,108,,Aggregated,22.142857,0.000000,230,310,360,400,610,890,1200,1600,1600,1600,1600,266,0,220,304.49277118421384,31.14429000004293,1624.3174040000667,173930.68045112782
1777433448,120,,Aggregated,23.875000,0.000000,260,350,450,560,830,1100,1600,1600,1800,1800,1800,303,0,260,367.45421102310434,31.14429000004293,1761.1338259999911,169807.201320132
1777433449,132,,Aggregated,25.555556,0.000000,290,430,580,690,950,1500,1900,2000,2600,2600,2600,348,0,280,449.7739623735647,31.14429000004293,2614.4460160001017,166951.29022988505
1777433450,144,,Aggregated,26.900000,0.000000,320,510,660,790,1200,1600,2100,2400,2800,2800,2800,378,0,320,510.3829089550275,31.14429000004293,2790.5502490000345,170085.85185185185
1777433451,150,,Aggregated,30.600000,0.000000,370,620,830,920,1500,2000,2400,2800,3000,3000,3000,432,0,370,600.0928254907401,31.14429000004293,2977.772654999967,163903.90972222222
1777433452,150,,Aggregated,33.700000,0.000000,420,650,900,1100,1600,2000,2700,2800,3200,3200,3200,476,0,410,661.3881881554621,31.14429000004293,3230.1602190000267,162657.05042016806
1777433453,150,,Aggregated,35.600000,0.000000,440,710,950,1200,1700,2100,2800,3000,3800,3800,3800,513,0,440,704.4090794600392,31.14429000004293,3771.91748000007,160242.21442495126
1777433454,150,,Aggregated,38.000000,0.000000,470,790,1100,1400,1700,2300,2800,3400,4100,4100,4100,551,0,470,754.6880244392012,31.14429000004293,4064.953849999938,162345.43194192377
1777433455,150,,Aggregated,40.300000,0.000000,500,860,1200,1500,1900,2400,3300,3800,4600,4600,4600,598,0,500,811.9830657642138,31.14429000004293,4636.515195999891,162163.04515050168
1777433456,150,,Aggregated,40.300000,0.000000,510,890,1300,1500,2000,2600,3200,3700,4600,4600,4600,642,0,510,836.2620910872268,31.14429000004293,4636.515195999891,156925.81308411216
1777433457,150,,Aggregated,40.100000,0.000000,530,920,1400,1600,2000,2800,3700,4600,5800,5800,5800,691,0,530,893.1987409710551,31.14429000004293,5770.0065989999985,157358.85817655572
1777433458,150,,Aggregated,41.100000,0.000000,540,1000,1400,1600,2000,2900,4400,4800,5800,5800,5800,749,0,540,935.9025187770344,31.14429000004293,5770.0065989999985,157832.74499332442
1777433459,150,,Aggregated,41.500000,0.000000,530,990,1400,1600,2100,3200,4400,4800,5800,5800,5800,817,0,530,943.5411277331682,31.14429000004293,5770.0065989999985,160650.4700122399
1777433460,150,,Aggregated,42.700000,0.000000,500,920,1300,1600,2100,3000,4300,4800,5800,5800,5800,870,0,500,910.292948898849,31.14429000004293,5770.0065989999985,160183.72988505746
1777433461,150,,Aggregated,44.700000,0.000000,490,910,1300,1500,2000,2900,4200,4700,5800,5800,5800,919,0,490,887.8585127660486,31.14429000004293,5770.0065989999985,160335.9031556039
1777433462,150,,Aggregated,47.100000,0.000000,510,870,1200,1500,2000,2800,4200,4700,5800,5800,5800,975,0,510,876.0910014112808,31.14429000004293,5770.0065989999985,158287.6041025641
1777433463,150,,Aggregated,48.900000,0.000000,530,860,1200,1500,2000,2800,4200,4700,5600,5800,5800,1040,0,530,872.7933742778841,31.14429000004293,5770.0065989999985,157325.07692307694
1777433464,150,,Aggregated,48.700000,0.000000,520,830,1200,1500,1900,2700,4100,4600,5600,5800,5800,1102,0,520,858.9673455145185,31.14429000004293,5770.0065989999985,159399.51996370236
1777433465,150,,Aggregated,49.600000,0.000000,500,790,1100,1400,1900,2700,4100,4600,5600,5800,5800,1157,0,500,836.3915155834044,31.14429000004293,5770.0065989999985,159586.3327571305
1777433466,150,,Aggregated,52.600000,0.000000,500,780,1100,1300,1900,2600,3800,4500,5600,5800,5800,1201,0,500,825.8844432206486,31.14429000004293,5770.0065989999985,159249.709408826
1777433467,150,,Aggregated,55.100000,0.000000,510,770,1100,1300,1800,2500,3800,4500,5600,5800,5800,1269,0,510,819.7009272734426,31.14429000004293,5770.0065989999985,158426.2781717888
