Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780886059,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780886060,30,,Aggregated,0.000000,0.000000,180,180,180,180,200,200,200,200,200,200,200,30,0,170,148.0955756000185,56.29699199926108,198.89753600000404,12418.866666666667
1780886061,60,,Aggregated,0.000000,0.000000,93,110,160,180,180,190,200,200,200,200,200,75,0,93,97.19197345331243,7.582936999824597,198.89753600000404,12868.106666666667
1780886062,90,,Aggregated,30.000000,0.000000,94,110,140,170,180,210,260,260,270,270,270,142,0,93,94.63785715493479,5.292827000630496,268.4618370003591,13504.197183098591
1780886063,120,,Aggregated,31.500000,0.000000,83,110,130,150,180,200,240,260,270,270,270,211,0,83,87.71106736964495,5.292827000630496,268.4618370003591,13352.293838862559
1780886064,150,,Aggregated,33.000000,0.000000,70,100,120,130,170,180,210,250,270,270,270,303,0,70,76.48407285809473,4.779673000484763,268.4618370003591,13218.224422442245
1780886065,180,,Aggregated,44.750000,0.000000,49,89,110,120,150,180,200,240,270,270,270,412,0,49,65.06019227912942,4.779673000484763,268.4618370003591,13112.776699029126
1780886066,200,,Aggregated,50.200000,0.000000,30,73,94,110,140,180,200,220,270,270,270,518,0,29,57.0848573725999,4.5437529997798265,268.4618370003591,13350.440154440155
1780886067,200,,Aggregated,57.500000,0.000000,18,60,83,100,130,170,190,210,270,270,270,615,0,18,49.928627024402104,4.220126000291202,268.4618370003591,13515.053658536586
1780886068,200,,Aggregated,64.000000,0.000000,16,38,72,87,120,160,180,210,270,270,270,724,0,16,44.602519723770136,4.220126000291202,268.4618370003591,13328.14226519337
1780886069,200,,Aggregated,67.500000,0.000000,14,27,61,77,120,150,180,200,270,270,270,823,0,14,40.65318691738882,3.960844999710389,268.4618370003591,13458.848116646415
