Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778035521,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778035522,25,,Aggregated,0.000000,0.000000,90,98,100,100,100,110,110,110,110,110,110,25,0,90,87.92806835997908,52.25156699998479,109.49809500016272,1030845.0
1778035523,50,,Aggregated,0.000000,0.000000,79,86,97,99,100,110,110,110,110,110,110,60,0,78,73.06841211663293,11.347797999405884,109.49809500016272,1030845.0
1778035524,75,,Aggregated,25.000000,0.000000,68,82,87,93,100,100,110,110,110,110,110,114,0,67,61.04655914907453,11.347797999405884,109.49809500016272,1030845.0
1778035525,100,,Aggregated,29.500000,0.000000,63,77,85,92,100,100,110,110,110,110,110,170,0,59,57.09383467056421,11.347797999405884,112.5606779996815,1030845.0
1778035526,125,,Aggregated,36.000000,0.000000,55,77,87,95,100,110,120,120,120,120,120,243,0,55,55.90291369957293,9.959963999790489,123.1561739996323,1030845.0
1778035527,150,,Aggregated,42.250000,0.000000,38,73,85,92,100,110,120,120,120,120,120,320,0,37,53.10179499373078,9.959963999790489,123.1561739996323,1030845.0
1778035528,175,,Aggregated,47.400000,0.000000,30,67,79,87,100,110,120,120,120,120,120,430,0,30,48.3955340813842,9.75943899993581,123.1561739996323,1030845.0
1778035529,200,,Aggregated,52.333333,0.000000,27,63,76,84,100,110,120,120,120,120,120,535,0,27,46.0140913439165,8.886984999662673,123.1561739996323,1030845.0
1778035530,225,,Aggregated,59.714286,0.000000,26,55,72,82,98,100,110,120,120,120,120,641,0,26,44.024377123245124,8.886984999662673,123.1561739996323,1030845.0
1778035531,250,,Aggregated,65.875000,0.000000,26,56,73,82,100,110,120,130,150,150,150,789,0,26,44.69130885298367,7.874832999732462,146.5772060000745,1030845.0
1778035532,250,,Aggregated,69.777778,0.000000,24,38,67,76,98,110,120,120,150,150,150,909,0,24,41.14387604730726,7.874832999732462,146.5772060000745,1030845.0
1778035533,250,,Aggregated,77.700000,0.000000,23,30,58,71,94,110,120,120,140,150,150,1037,0,23,38.226945154290284,7.777967999572866,146.5772060000745,1030845.0
1778035534,250,,Aggregated,86.500000,0.000000,22,27,48,67,91,100,120,120,140,150,150,1148,0,22,36.203325309231936,7.777967999572866,146.5772060000745,1030845.0
1778035535,250,,Aggregated,95.600000,0.000000,21,26,35,59,87,100,120,120,140,150,150,1288,0,21,34.40000937422559,7.777967999572866,146.5772060000745,1030845.0
1778035536,250,,Aggregated,102.500000,0.000000,21,25,31,50,86,100,110,120,140,150,150,1415,0,21,32.964480786574725,7.777967999572866,146.5772060000745,1030845.0
1778035537,250,,Aggregated,109.500000,0.000000,21,25,30,40,83,100,110,120,140,150,150,1517,0,21,31.985145632833067,7.536101999903622,146.5772060000745,1030845.0
1778035538,250,,Aggregated,115.600000,0.000000,20,24,28,35,81,99,110,120,140,150,150,1652,0,20,30.87926761319931,7.536101999903622,146.5772060000745,1030845.0
1778035539,250,,Aggregated,118.300000,0.000000,20,24,27,32,77,98,110,120,140,150,150,1767,0,20,30.013922092819893,7.536101999903622,146.5772060000745,1030845.0
