Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777434367,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777434368,12,,Aggregated,0.000000,0.000000,150,150,160,160,170,170,170,170,170,170,170,12,0,140,135.32697091668902,55.49679000000651,173.5880900000666,30204.0
1777434369,24,,Aggregated,0.000000,0.000000,160,170,190,200,210,210,220,220,220,220,220,32,0,150,137.2512044375256,31.967884999858143,220.14820900017185,30204.0
1777434370,36,,Aggregated,12.000000,0.000000,140,160,170,170,200,210,210,220,220,220,220,56,0,130,123.0414910535842,27.132204000054116,220.14820900017185,30204.0
1777434371,48,,Aggregated,13.000000,0.000000,120,160,170,200,210,230,240,240,240,240,240,89,0,120,122.37581021350053,27.132204000054116,239.73497199995109,30204.0
1777434372,60,,Aggregated,15.333333,0.000000,100,150,170,180,210,220,230,240,240,240,240,118,0,100,116.89250262714006,27.132204000054116,239.73497199995109,30204.0
1777434373,72,,Aggregated,19.750000,0.000000,110,160,180,200,220,250,280,290,290,290,290,161,0,110,124.55993897516741,27.132204000054116,292.5854340001024,30204.0
1777434374,84,,Aggregated,21.200000,0.000000,110,160,180,200,220,240,280,290,290,290,290,208,0,110,121.94891630770256,27.132204000054116,292.5854340001024,30204.0
1777434375,96,,Aggregated,24.333333,0.000000,110,160,180,200,230,260,280,290,290,290,290,260,0,110,121.83341405770206,27.132204000054116,292.5854340001024,30204.0
1777434376,108,,Aggregated,26.285714,0.000000,110,160,180,200,230,260,290,290,320,320,320,317,0,110,124.68524051736172,27.132204000054116,316.2755770001695,30204.0
1777434377,120,,Aggregated,29.500000,0.000000,110,160,180,200,230,260,290,290,320,320,320,370,0,110,123.9539521702842,27.132204000054116,316.2755770001695,30204.0
1777434378,132,,Aggregated,32.333333,0.000000,130,180,210,220,270,320,370,390,440,440,440,444,0,120,143.68966878604468,27.132204000054116,435.25746900013473,30204.0
1777434379,144,,Aggregated,35.200000,0.000000,130,190,220,230,290,340,380,390,440,440,440,508,0,130,150.32407458071825,27.132204000054116,435.25746900013473,30204.0
1777434380,156,,Aggregated,38.100000,0.000000,140,200,230,260,310,340,380,390,440,440,440,583,0,140,157.27224987822643,27.132204000054116,435.25746900013473,30204.0
1777434381,168,,Aggregated,44.700000,0.000000,160,220,260,290,340,390,420,430,460,460,460,650,0,160,174.7259097430845,27.132204000054116,460.28005200014377,30204.0
1777434382,180,,Aggregated,48.900000,0.000000,180,250,300,330,390,450,540,630,770,770,770,726,0,180,202.54614688568086,27.132204000054116,770.6279129999984,30204.0
1777434383,192,,Aggregated,52.600000,0.000000,210,290,340,370,470,590,680,760,840,840,840,800,0,210,234.9625066575053,27.132204000054116,838.539327000035,30204.0
1777434384,204,,Aggregated,56.900000,0.000000,220,320,380,410,540,630,710,760,840,840,840,873,0,220,258.57943385223837,27.132204000054116,838.539327000035,30204.0
1777434385,216,,Aggregated,60.400000,0.000000,240,340,410,470,610,710,820,890,1000,1000,1000,930,0,240,286.8279286236605,27.132204000054116,1034.4895099999576,30204.0
1777434386,228,,Aggregated,64.500000,0.000000,260,380,470,550,760,980,1100,1200,1300,1500,1500,1001,0,260,339.81535580919433,27.132204000054116,1477.7371830000448,30204.0
1777434387,240,,Aggregated,66.000000,0.000000,290,420,570,650,1000,1200,1300,1400,1600,1900,1900,1074,0,290,400.14985566387713,27.132204000054116,1947.9172880000988,30204.0
1777434388,252,,Aggregated,67.600000,0.000000,310,470,650,820,1200,1400,1500,1600,1900,1900,1900,1144,0,310,462.1270386564722,27.132204000054116,1947.9172880000988,30204.0
1777434389,264,,Aggregated,68.200000,0.000000,340,560,800,1000,1300,1500,1700,1800,2100,2500,2500,1214,0,340,524.0678919596417,27.132204000054116,2463.9255740000863,30204.0
1777434390,276,,Aggregated,70.900000,0.000000,360,610,960,1100,1500,1700,1800,1900,2500,2600,2600,1270,0,360,576.7589729582714,27.132204000054116,2635.4497750000974,30204.0
1777434391,288,,Aggregated,70.100000,0.000000,390,730,1100,1300,1700,1900,2100,2200,2600,2900,2900,1347,0,390,655.1803912167809,27.132204000054116,2896.1245450000206,30204.0
1777434392,300,,Aggregated,70.200000,0.000000,410,840,1200,1400,1800,2000,2200,2400,2900,3000,3000,1404,2,410,709.9624588418832,27.132204000054116,3048.2416079998984,30164.74358974359
1777434393,300,,Aggregated,69.700000,0.000000,450,1000,1400,1500,1900,2200,2500,2800,3500,3600,3600,1488,3,450,792.8157514153264,27.132204000054116,3566.124295999998,30148.439516129034
1777434394,300,,Aggregated,69.200000,0.000000,510,1100,1500,1700,2100,2400,2700,3200,3600,3800,3800,1561,3,510,859.2086138462541,27.132204000054116,3789.2866859999685,30151.037796284432
1777434395,300,,Aggregated,68.600000,0.300000,570,1200,1500,1700,2100,2500,2900,3400,3800,4000,4000,1632,5,570,917.4410277947317,27.132204000054116,4032.1001849999902,30119.569852941175
1777434396,300,,Aggregated,68.500000,0.300000,610,1300,1600,1800,2200,2500,3100,3400,3800,4000,4000,1698,5,610,960.2046915241475,27.132204000054116,4032.1001849999902,30122.851590106005
1777434397,300,,Aggregated,68.900000,0.300000,680,1400,1700,1900,2400,2700,3200,3500,4000,4200,4200,1775,5,680,1010.336205034931,27.132204000054116,4167.202151999845,30126.371830985914
1777434398,300,,Aggregated,69.400000,0.500000,750,1400,1700,1900,2400,2800,3400,3600,4200,4400,4400,1857,9,750,1051.2885805718915,27.132204000054116,4366.048809999938,30070.4394184168
1777434399,300,,Aggregated,70.000000,0.500000,780,1400,1800,2000,2500,2900,3500,3700,4300,4400,4400,1925,9,780,1086.8371022223398,27.132204000054116,4366.048809999938,30075.157402597404
1777434400,300,,Aggregated,70.400000,0.500000,820,1400,1800,2100,2600,3000,3500,3700,4300,4400,4400,2001,11,820,1120.8774790454795,27.132204000054116,4366.048809999938,30052.50674662669
1777434401,300,,Aggregated,70.500000,0.900000,850,1500,1900,2100,2700,3000,3500,3700,4300,4400,4400,2081,23,850,1145.372456866413,24.727145999804634,4366.048809999938,29899.41854877463
1777434402,300,,Aggregated,71.700000,0.900000,910,1500,1900,2200,2700,3100,3600,3800,4500,4700,4700,2160,23,910,1185.552710389818,24.727145999804634,4709.499628000003,29910.558333333334
1777434403,300,,Aggregated,72.900000,1.600000,950,1600,2000,2300,2800,3100,3600,3800,4500,4700,4700,2240,23,950,1224.1621658089316,24.727145999804634,4709.499628000003,29921.038392857143
1777434404,300,,Aggregated,74.900000,2.300000,980,1700,2100,2300,2800,3100,3600,3700,4500,4700,4700,2314,30,980,1241.2356730700114,24.727145999804634,4709.499628000003,29846.722558340534
1777434405,300,,Aggregated,74.800000,2.000000,1000,1700,2100,2400,2800,3100,3500,3700,4500,4700,4700,2388,30,1000,1264.4016597102202,24.727145999804634,4709.499628000003,29857.793969849245
1777434406,300,,Aggregated,74.400000,2.100000,1100,1800,2200,2400,2800,3100,3500,3700,4500,4700,4700,2463,32,1100,1287.079119569633,22.647992999964117,4709.499628000003,29845.958587088917
1777434407,300,,Aggregated,75.100000,2.700000,1100,1800,2200,2400,2800,3100,3500,3700,4500,4700,4700,2539,43,1100,1297.0109971291865,22.647992999964117,4709.499628000003,29737.28318235526
1777434408,300,,Aggregated,75.400000,2.500000,1100,1800,2200,2500,2800,3100,3500,3700,4500,4700,4700,2632,43,1100,1326.054133340047,22.647992999964117,4709.499628000003,29753.774316109422
1777434409,300,,Aggregated,75.300000,2.800000,1100,1900,2300,2500,2800,3100,3500,3700,4500,4700,4700,2699,43,1100,1342.1475050248253,22.647992999964117,4709.499628000003,29764.95072248981
1777434410,300,,Aggregated,76.300000,3.800000,1100,1900,2300,2500,2800,3100,3500,3700,4500,4700,4700,2773,54,1100,1348.7686342866941,22.647992999964117,4709.499628000003,29667.349441038587
1777434411,300,,Aggregated,77.300000,3.400000,1200,1900,2300,2500,2800,3100,3500,3700,4500,4700,4700,2864,62,1200,1367.650052511175,16.56398599993736,4709.499628000003,29607.423184357544
1777434412,300,,Aggregated,76.300000,3.400000,1200,1900,2300,2500,2900,3100,3500,3700,4500,4700,4700,2942,62,1200,1383.5756823127144,16.56398599993736,4709.499628000003,29623.239972807613
1777434413,300,,Aggregated,76.800000,4.600000,1200,1900,2300,2500,2900,3100,3500,3700,4400,4700,4700,3010,62,1200,1393.9636897833907,16.56398599993736,4709.499628000003,29636.360132890364
1777434414,300,,Aggregated,77.700000,3.900000,1200,1900,2300,2500,2900,3100,3500,3700,4400,4700,4700,3093,77,1200,1400.5612047064344,16.56398599993736,4709.499628000003,29517.945683802132
1777434415,300,,Aggregated,78.500000,3.900000,1300,1900,2300,2500,2900,3100,3500,3700,4400,4700,4700,3176,79,1300,1414.9638503334377,16.56398599993736,4709.499628000003,29518.520780856423
1777434416,300,,Aggregated,77.700000,3.800000,1300,2000,2300,2500,2900,3100,3500,3700,4400,4700,4700,3261,79,1300,1430.0987347476228,16.56398599993736,4709.499628000003,29536.388224471022
1777434417,300,,Aggregated,77.700000,4.900000,1300,2000,2300,2500,2900,3100,3400,3700,4400,4700,4700,3336,79,1300,1439.3320370368695,16.56398599993736,4709.499628000003,29551.39748201439
1777434418,300,,Aggregated,78.700000,4.900000,1300,2000,2400,2500,2900,3100,3400,3700,4400,4700,4700,3409,79,1300,1446.8643775858013,16.56398599993736,4709.499628000003,29565.372249926666
1777434419,300,,Aggregated,79.600000,4.600000,1300,2000,2400,2500,2900,3100,3400,3700,4400,4700,4700,3479,87,1300,1451.4312511046269,16.56398599993736,4709.499628000003,29514.8519689566
1777434420,300,,Aggregated,78.500000,3.600000,1300,2000,2400,2500,2900,3100,3400,3700,4400,4700,4700,3559,87,1300,1462.9940740435497,16.56398599993736,4709.499628000003,29530.34279291936
