Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778387589,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387590,5,,Aggregated,0.000000,0.000000,16,17,18,19,23,28,45,110,120,120,120,261,0,16,18.48129506511057,8.25548900047579,123.85340899982111,92959.73946360154
1778387591,10,,Aggregated,0.000000,0.000000,24,27,29,31,36,41,49,56,120,120,120,594,0,24,24.54080399492699,8.25548900047579,123.85340899982111,91404.47643097643
1778387592,15,,Aggregated,136.000000,0.000000,29,37,42,46,58,72,86,100,130,130,130,874,0,29,33.54130031349051,8.25548900047579,126.04076499974326,91291.18535469107
1778387593,20,,Aggregated,228.500000,0.000000,38,49,55,60,73,85,99,110,130,140,140,1184,0,38,41.509221013499015,8.25548900047579,136.5866999994978,90985.55996621621
1778387594,25,,Aggregated,250.333333,0.000000,48,60,66,70,79,88,99,110,130,140,140,1538,0,48,47.973922598161884,8.25548900047579,136.5866999994978,90955.31534460338
1778387595,30,,Aggregated,265.500000,0.000000,55,67,74,80,100,120,140,150,180,190,190,1811,0,55,57.17456538043426,8.25548900047579,185.41961499977333,91071.97736057427
1778387596,35,,Aggregated,276.800000,0.000000,62,76,89,97,110,130,150,170,210,240,240,2140,0,62,64.62399833269353,8.25548900047579,235.02695000024687,91040.26121495327
1778387597,40,,Aggregated,282.500000,0.000000,68,88,100,110,130,150,170,210,400,420,420,2430,0,68,73.24455015348451,8.25548900047579,422.4762669991833,90866.85390946502
1778387598,45,,Aggregated,284.428571,0.000000,74,94,100,110,130,150,190,330,490,510,510,2776,0,74,79.47808225466898,8.25548900047579,508.6897620003583,90590.84510086455
1778387599,50,,Aggregated,285.125000,0.000000,81,98,110,110,140,170,290,400,490,560,560,3111,0,81,86.48947189487491,8.25548900047579,564.9327659994015,90820.21922211508
1778387600,55,,Aggregated,287.777778,0.000000,86,100,110,120,150,190,400,480,610,640,640,3426,0,86,94.60155387243218,8.25548900047579,644.6369499999491,91413.1967308815
1778387601,60,,Aggregated,294.000000,0.000000,89,100,110,120,150,230,440,570,830,880,880,3793,0,89,101.79199824913134,8.25548900047579,881.5089050003735,91730.27867123649
1778387602,65,,Aggregated,311.900000,0.000000,91,110,120,120,170,280,530,610,830,880,880,4091,0,91,108.15868210289857,8.25548900047579,881.5089050003735,90827.38914690785
1778387603,70,,Aggregated,312.400000,0.000000,93,110,120,130,190,370,610,760,890,960,960,4395,0,93,118.87105432900029,8.25548900047579,961.7452860002231,92014.93788395905
