Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778387527,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387528,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387529,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387530,15,,Aggregated,0.000000,0.000000,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,1,0,2676.9038860002183,2676.9038860002183,2676.9038860002183,2676.9038860002183,281622.0
1778387531,20,,Aggregated,0.000000,0.000000,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,1,0,2676.9038860002183,2676.9038860002183,2676.9038860002183,2676.9038860002183,281622.0
1778387532,25,,Aggregated,0.000000,0.000000,2700,2700,4700,4700,4700,4700,4700,4700,4700,4700,4700,3,0,2700,3093.047137666872,1916.4142520003224,4685.823275000075,206044.33333333334
1778387533,30,,Aggregated,0.000000,0.000000,2700,2700,4700,4700,4700,4700,4700,4700,4700,4700,4700,3,0,2700,3093.047137666872,1916.4142520003224,4685.823275000075,206044.33333333334
1778387534,35,,Aggregated,0.200000,0.000000,2700,2700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4,0,2000,2816.8953607500953,1916.4142520003224,4685.823275000075,161886.75
1778387535,40,,Aggregated,0.200000,0.000000,2500,2700,2700,4700,4700,4700,4700,4700,4700,4700,4700,5,0,2500,2749.4046816000264,1916.4142520003224,4685.823275000075,140487.2
1778387536,45,,Aggregated,0.200000,0.000000,2500,2700,2700,4700,4700,4700,4700,4700,4700,4700,4700,5,0,2500,2749.4046816000264,1916.4142520003224,4685.823275000075,140487.2
1778387537,50,,Aggregated,0.625000,0.000000,2700,2700,4700,4700,4900,4900,4900,4900,4900,4900,4900,6,1,2500,3109.551699499965,1916.4142520003224,4910.286788999656,117116.83333333333
1778387538,55,,Aggregated,0.555556,0.000000,3600,4700,4900,4900,8600,8600,8600,8600,8600,8600,8600,8,2,2700,3858.2244514998365,1916.4142520003224,8580.259460999514,91547.5
1778387539,60,,Aggregated,0.500000,0.000000,4700,4900,5300,8600,11000,11000,11000,11000,11000,11000,11000,10,3,3600,4757.029939599852,1916.4142520003224,11393.90111800003,101426.7
1778387540,65,,Aggregated,0.600000,0.100000,4900,5300,8600,8600,11000,13000,13000,13000,13000,13000,13000,12,4,4700,5533.45593066653,1916.4142520003224,12770.265831999495,108012.83333333333
1778387541,70,,Aggregated,0.900000,0.300000,4900,6100,8500,8600,11000,13000,13000,13000,13000,13000,13000,13,5,4900,5764.93790353834,1916.4142520003224,12770.265831999495,99724.53846153847
1778387542,75,,Aggregated,1.100000,0.400000,4900,6100,8600,9600,11000,13000,13000,13000,13000,13000,13000,15,6,4900,5932.785525733198,1916.4142520003224,12770.265831999495,90104.86666666667
1778387543,80,,Aggregated,1.100000,0.400000,5300,8500,8600,9600,11000,13000,13000,13000,13000,13000,13000,17,8,5300,6377.599449823399,1916.4142520003224,12770.265831999495,79535.4705882353
1778387544,85,,Aggregated,1.200000,0.500000,5900,8500,9600,11000,13000,16000,16000,16000,16000,16000,16000,19,8,5900,6879.309059631468,1916.4142520003224,16436.15210400003,88874.42105263157
1778387545,90,,Aggregated,1.200000,0.600000,6100,8600,9600,11000,12000,13000,16000,16000,16000,16000,16000,21,10,6100,7238.654440095117,1916.4142520003224,16436.15210400003,80435.42857142857
1778387546,95,,Aggregated,1.400000,0.800000,6700,8600,9600,11000,12000,13000,16000,16000,16000,16000,16000,23,10,6700,7200.105592130295,1916.4142520003224,16436.15210400003,78214.0
1778387547,100,,Aggregated,1.500000,0.900000,6900,8600,9600,11000,12000,13000,16000,16000,16000,16000,16000,25,11,6900,7405.074836599887,1916.4142520003224,16436.15210400003,74163.04
1778387548,105,,Aggregated,1.700000,1.000000,7000,8600,9600,11000,12000,13000,16000,16000,16000,16000,16000,28,11,6900,7420.852864749869,1916.4142520003224,16436.15210400003,71188.14285714286
1778387549,110,,Aggregated,1.700000,1.000000,7000,9300,9600,11000,13000,13000,16000,16000,16000,16000,16000,29,12,7000,7614.637487689551,1916.4142520003224,16436.15210400003,68742.5172413793
1778387550,115,,Aggregated,1.800000,1.000000,7200,9300,11000,12000,13000,16000,16000,16000,16000,16000,16000,30,13,7000,7903.288559566559,1916.4142520003224,16436.15210400003,66459.93333333333
1778387551,120,,Aggregated,2.000000,0.900000,8000,9600,12000,12000,14000,16000,22000,22000,22000,22000,22000,32,14,7200,8555.74151271864,1916.4142520003224,22219.037228999696,71115.15625
1778387552,125,,Aggregated,1.900000,0.900000,8600,11000,13000,14000,22000,23000,24000,24000,24000,24000,24000,36,15,8500,10160.470377833184,1916.4142520003224,23863.622174999364,86689.33333333333
1778387553,130,,Aggregated,1.900000,0.900000,9300,12000,14000,16000,23000,24000,24000,24000,24000,24000,24000,39,16,9300,10686.606231435737,1916.4142520003224,24141.68037499985,88656.20512820513
1778387554,135,,Aggregated,2.000000,0.900000,9300,12000,14000,16000,23000,24000,24000,24000,24000,24000,24000,41,17,9300,11004.414234438873,1916.4142520003224,24141.68037499985,85676.73170731707
1778387555,140,,Aggregated,2.400000,1.000000,11000,12000,16000,16000,23000,24000,24000,24000,24000,24000,24000,44,18,9600,11154.343887090758,1916.4142520003224,24141.68037499985,81757.13636363637
1778387556,145,,Aggregated,2.300000,0.800000,11000,12000,16000,17000,23000,24000,24000,24000,24000,24000,24000,45,19,11000,11295.889653133197,1916.4142520003224,24141.68037499985,79946.2
1778387557,150,,Aggregated,2.100000,0.800000,11000,13000,16000,17000,23000,24000,24000,24000,24000,24000,24000,47,20,11000,11564.277703680713,1916.4142520003224,24141.68037499985,77717.72340425532
1778387558,155,,Aggregated,2.200000,0.800000,11000,13000,16000,18000,23000,24000,26000,26000,26000,26000,26000,50,21,11000,11867.555562519883,1916.4142520003224,25935.083086000304,74236.52
1778387559,160,,Aggregated,2.300000,0.900000,11000,13000,16000,17000,23000,24000,24000,26000,26000,26000,26000,51,21,11000,11908.109169999881,1916.4142520003224,25935.083086000304,73857.1568627451
1778387560,165,,Aggregated,2.300000,0.900000,11000,13000,16000,18000,23000,24000,24000,26000,26000,26000,26000,53,22,11000,12199.312892282904,1916.4142520003224,25935.083086000304,72110.7358490566
1778387561,170,,Aggregated,2.100000,0.900000,12000,14000,17000,22000,24000,26000,31000,31000,31000,31000,31000,57,23,12000,13095.44813491218,1916.4142520003224,31380.429763000393,77452.49122807017
1778387562,175,,Aggregated,2.100000,0.800000,12000,16000,18000,22000,24000,27000,31000,32000,32000,32000,32000,61,24,12000,13673.429945655655,1916.4142520003224,32329.36280800004,78376.75409836066
1778387563,180,,Aggregated,2.400000,0.900000,12000,16000,22000,23000,26000,31000,32000,34000,34000,34000,34000,63,25,12000,14196.43047526976,1916.4142520003224,33988.38634399999,80363.0
1778387564,185,,Aggregated,2.600000,0.900000,13000,16000,23000,24000,26000,31000,34000,34000,34000,34000,34000,66,27,13000,14858.900267227207,1916.4142520003224,33988.38634399999,80985.16666666667
1778387565,190,,Aggregated,2.300000,0.900000,13000,17000,23000,24000,28000,32000,34000,34000,34000,34000,34000,70,28,13000,15347.711336571358,1916.4142520003224,33988.38634399999,81588.72857142857
1778387566,195,,Aggregated,2.300000,0.900000,14000,18000,24000,24000,31000,34000,35000,36000,36000,36000,36000,73,28,14000,15909.691964397185,1916.4142520003224,35968.91402399979,86703.34246575342
1778387567,200,,Aggregated,2.300000,0.900000,14000,18000,24000,26000,31000,34000,35000,36000,36000,36000,36000,74,29,14000,16075.80773709452,1916.4142520003224,35968.91402399979,85535.25675675676
1778387568,205,,Aggregated,2.800000,1.000000,14000,22000,24000,26000,31000,34000,36000,36000,36000,36000,36000,77,30,14000,16512.617511545377,1916.4142520003224,36059.32826699973,86576.42857142857
1778387569,210,,Aggregated,2.800000,1.000000,15000,22000,24000,26000,31000,34000,36000,36000,36000,36000,36000,78,30,14000,16530.1680316666,1916.4142520003224,36059.32826699973,86170.17948717948
1778387570,215,,Aggregated,2.700000,0.900000,16000,22000,24000,26000,33000,36000,39000,39000,39000,39000,39000,83,31,16000,17362.649698204757,1916.4142520003224,38984.958731000006,89091.09638554217
1778387571,220,,Aggregated,2.700000,0.900000,16000,22000,26000,27000,34000,36000,39000,39000,39000,39000,39000,88,32,16000,17796.522269079487,1916.4142520003224,38984.958731000006,88814.09090909091
1778387572,225,,Aggregated,2.700000,0.900000,16000,22000,26000,27000,33000,36000,39000,39000,39000,39000,39000,92,33,16000,18003.14571381517,1916.4142520003224,38984.958731000006,86468.44565217392
1778387573,230,,Aggregated,3.000000,0.900000,16000,22000,26000,28000,34000,37000,39000,39000,39000,39000,39000,93,34,16000,18222.72741594619,1916.4142520003224,38984.958731000006,85541.52688172043
1778387574,235,,Aggregated,3.000000,0.900000,17000,22000,26000,28000,34000,37000,39000,39000,39000,39000,39000,94,34,16000,18240.84806890421,1916.4142520003224,38984.958731000006,85215.43617021276
1778387575,240,,Aggregated,3.000000,0.800000,17000,22000,26000,28000,34000,37000,39000,39000,39000,39000,39000,96,35,17000,18417.159112572874,1916.4142520003224,38984.958731000006,83749.27083333333
1778387576,245,,Aggregated,3.000000,0.900000,18000,23000,26000,28000,35000,39000,39000,42000,42000,42000,42000,98,36,17000,18863.93460230607,1916.4142520003224,41710.785205999855,84916.5
1778387577,250,,Aggregated,2.600000,0.700000,18000,23000,26000,31000,36000,39000,39000,42000,42000,42000,42000,101,37,18000,19295.63628417817,1916.4142520003224,41891.973877000055,85728.64356435643
1778387578,250,,Aggregated,2.400000,0.700000,18000,24000,28000,31000,37000,39000,42000,42000,43000,43000,43000,104,37,18000,19763.024462999958,1916.4142520003224,43480.996820000655,89199.28846153847
1778387579,250,,Aggregated,2.500000,0.700000,19000,24000,28000,33000,37000,39000,42000,42000,43000,43000,43000,109,40,19000,20274.86431126602,1916.4142520003224,43480.996820000655,85888.29357798165
1778387580,250,,Aggregated,2.700000,0.800000,19000,24000,31000,33000,37000,41000,42000,42000,43000,43000,43000,113,41,19000,20809.955860079608,1916.4142520003224,43480.996820000655,88320.54867256636
1778387581,250,,Aggregated,2.900000,0.800000,19000,24000,31000,34000,39000,41000,42000,42000,43000,43000,43000,116,43,19000,21164.12097673272,1916.4142520003224,43480.996820000655,86294.53448275862
1778387582,250,,Aggregated,3.100000,1.000000,19000,26000,31000,34000,39000,41000,42000,42000,43000,43000,43000,117,44,19000,21323.25502096577,1916.4142520003224,43480.996820000655,85559.23931623931
