Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778387773,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387774,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387775,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387776,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387777,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387778,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778387779,30,,Aggregated,0.000000,0.000000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,2,0,5100,5526.127128499866,5067.368285999692,5984.88597100004,281622.0
1778387780,35,,Aggregated,0.000000,0.000000,6000,6000,6400,6400,6400,6400,6400,6400,6400,6400,6400,3,0,6000,5806.468333999874,5067.368285999692,6367.15074499989,281622.0
1778387781,40,,Aggregated,0.000000,0.000000,6000,6000,6400,6400,6400,6400,6400,6400,6400,6400,6400,4,0,5100,4890.622021749778,2143.083084999489,6367.15074499989,224938.75
1778387782,45,,Aggregated,0.285714,0.000000,5100,6000,6000,6400,6400,6400,6400,6400,6400,6400,6400,5,0,5100,4366.412507399764,2143.083084999489,6367.15074499989,190928.8
1778387783,50,,Aggregated,0.375000,0.000000,5100,5100,6000,6000,6400,6400,6400,6400,6400,6400,6400,6,0,3500,4216.1731768331565,2143.083084999489,6367.15074499989,168255.5
1778387784,55,,Aggregated,0.444444,0.000000,4800,5100,6000,6000,6400,6400,6400,6400,6400,6400,6400,7,1,4800,4301.239246714171,2143.083084999489,6367.15074499989,144256.85714285713
1778387785,60,,Aggregated,0.444444,0.000000,4800,5100,6000,6000,6400,6400,6400,6400,6400,6400,6400,7,1,4800,4301.239246714171,2143.083084999489,6367.15074499989,144256.85714285713
1778387786,65,,Aggregated,0.600000,0.000000,5100,6000,6200,6400,9000,9000,9000,9000,9000,9000,9000,10,3,4900,5018.022340599873,2143.083084999489,8978.63290999976,103974.2
1778387787,70,,Aggregated,0.700000,0.100000,5100,5600,6200,6200,6400,9000,9000,9000,9000,9000,9000,12,3,4900,4937.923026666567,2143.083084999489,8978.63290999976,91547.5
1778387788,75,,Aggregated,0.700000,0.100000,5100,6000,6200,6400,9000,11000,11000,11000,11000,11000,11000,13,4,5100,5429.3799537691275,2143.083084999489,11326.86307899985,84525.76923076923
1778387789,80,,Aggregated,1.000000,0.300000,5600,6200,6400,8400,9000,11000,11000,11000,11000,11000,11000,14,5,5100,5642.479616999936,2143.083084999489,11326.86307899985,78507.14285714286
1778387790,85,,Aggregated,1.200000,0.300000,5600,6200,8400,9000,11000,17000,17000,17000,17000,17000,17000,15,5,5600,6378.635731799903,2143.083084999489,16684.821338999427,92048.13333333333
1778387791,90,,Aggregated,1.300000,0.400000,6000,6400,9000,9000,12000,17000,17000,17000,17000,17000,17000,16,6,5600,6736.796832374922,2143.083084999489,16684.821338999427,86311.6875
