Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781066179,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781066180,75,,Aggregated,0.000000,0.000000,180,260,340,350,390,430,440,460,460,460,460,75,0,180,221.31197792000117,73.90997899983631,457.1912789999715,128300.21333333333
1781066181,150,,Aggregated,0.000000,0.000000,180,270,340,360,430,460,520,560,560,560,560,179,0,180,221.44708032960767,1.8561090000730474,561.889611000197,117772.4972067039
1781066182,225,,Aggregated,28.000000,0.000000,180,270,340,370,430,510,560,650,790,790,790,321,0,180,221.52240708411253,1.8561090000730474,793.9408419999836,114178.60436137072
1781066183,300,,Aggregated,38.000000,0.000000,200,290,340,360,440,530,590,690,790,790,790,497,0,200,223.04605404828598,1.8561090000730474,793.9408419999836,107999.31187122736
1781066184,300,,Aggregated,68.333333,0.000000,180,270,310,340,430,520,570,650,790,790,790,614,0,180,209.4287828371307,1.8561090000730474,793.9408419999836,110653.57003257329
1781066185,300,,Aggregated,86.250000,0.000000,130,220,280,310,400,470,560,630,790,790,790,785,0,130,173.24427298088727,1.8561090000730474,793.9408419999836,110877.34394904459
1781066186,300,,Aggregated,101.400000,0.000000,92,180,250,290,390,460,550,590,790,790,790,937,0,92,149.53148097758591,1.748413999848708,793.9408419999836,111492.2689434365
1781066187,300,,Aggregated,109.666667,0.000000,72,150,220,260,360,440,550,590,750,790,790,1075,0,72,133.78065745116103,1.748413999848708,793.9408419999836,111639.42604651162
1781066188,300,,Aggregated,115.142857,0.000000,57,120,190,250,340,430,530,570,750,790,790,1227,0,57,120.3469595957594,1.7367899999953806,793.9408419999836,110241.40423797882
1781066189,300,,Aggregated,119.625000,0.000000,45,100,170,210,330,420,520,570,750,790,790,1377,0,45,108.80969982352707,1.7367899999953806,793.9408419999836,107893.42701525055
1781066190,300,,Aggregated,122.222222,0.000000,37,85,140,190,320,400,520,560,750,790,790,1522,0,37,100.38659852102222,1.7367899999953806,793.9408419999836,109213.09198423127
1781066191,300,,Aggregated,124.000000,0.000000,31,72,120,170,300,400,510,560,750,790,790,1664,0,31,93.1063693894196,1.7367899999953806,793.9408419999836,108531.34855769231
1781066192,300,,Aggregated,137.200000,0.000000,26,66,110,150,300,390,500,550,750,790,790,1810,0,26,87.62943747513528,1.7367899999953806,793.9408419999836,108285.85524861878
1781066193,300,,Aggregated,147.000000,0.000000,26,66,110,150,280,380,480,550,750,790,790,1936,0,26,86.48507764410921,1.7367899999953806,793.9408419999836,109284.07179752066
1781066194,300,,Aggregated,147.800000,0.000000,33,76,130,180,300,390,490,550,710,790,790,2110,0,33,93.58029854691792,1.7367899999953806,793.9408419999836,109875.68720379147
1781066195,300,,Aggregated,148.400000,0.000000,29,71,120,170,290,380,470,550,710,790,790,2247,0,29,88.99323540987793,1.7367899999953806,793.9408419999836,109078.87583444593
1781066196,300,,Aggregated,145.500000,0.000000,25,66,110,150,270,370,470,550,710,790,790,2396,0,25,85.22541129131686,1.7367899999953806,793.9408419999836,109445.49749582638
1781066197,300,,Aggregated,147.300000,0.000000,23,61,100,140,270,360,460,530,710,790,790,2546,0,23,81.99369096111351,1.7367899999953806,793.9408419999836,110372.30243519245
1781066198,300,,Aggregated,145.200000,0.000000,22,59,97,130,260,350,450,530,710,790,790,2693,0,22,79.62061356331063,1.7063979998965806,793.9408419999836,109475.5796509469
1781066199,300,,Aggregated,146.000000,0.000000,19,57,93,130,250,350,440,520,710,790,790,2839,0,19,76.8579136745316,1.7063979998965806,793.9408419999836,109610.49207467418
1781066200,300,,Aggregated,146.500000,0.000000,17,53,89,120,250,340,440,520,710,790,790,2991,0,17,74.37696972049346,1.7063979998965806,793.9408419999836,110068.65864259446
1781066201,300,,Aggregated,147.600000,0.000000,16,51,84,120,230,330,440,520,700,790,790,3133,0,16,72.10956946377125,1.7063979998965806,793.9408419999836,108826.94031279924
1781066202,300,,Aggregated,146.300000,0.000000,15,49,78,110,220,330,430,520,700,790,790,3301,0,15,69.63269667221948,1.7063979998965806,793.9408419999836,108164.75219630415
1781066203,300,,Aggregated,145.500000,0.000000,14,48,74,100,220,320,430,510,700,790,790,3435,0,14,67.73052424133829,1.7063979998965806,793.9408419999836,106996.15633187773
1781066204,300,,Aggregated,146.800000,0.000000,14,46,71,98,210,320,430,510,700,790,790,3589,0,14,65.62219346531043,1.7063979998965806,793.9408419999836,106438.87238785176
1781066205,300,,Aggregated,148.000000,0.000000,14,46,70,95,200,310,420,510,700,790,790,3744,0,14,64.24593495860002,1.7063979998965806,793.9408419999836,105841.63835470086
1781066206,300,,Aggregated,148.300000,0.000000,13,44,67,91,200,310,420,510,700,790,790,3895,0,13,62.423009874197696,1.7063979998965806,793.9408419999836,105495.6192554557
1781066207,300,,Aggregated,146.600000,0.000000,12,43,64,87,190,300,420,500,690,790,790,4035,0,12,60.74074119281276,1.638434000142297,793.9408419999836,104863.84386617101
1781066208,300,,Aggregated,150.300000,0.000000,12,42,62,83,180,300,410,500,690,790,790,4184,0,12,59.34669778226552,1.638434000142297,793.9408419999836,104830.36018164436
