Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778035152,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778035153,25,,Aggregated,0.000000,0.000000,57,62,63,64,66,68,80,80,80,80,80,25,0,57,55.69683460002125,37.11878800004342,79.63783600007446,311564.0
1778035154,50,,Aggregated,0.000000,0.000000,44,52,54,57,63,64,68,80,80,80,80,61,0,44,44.04005455738816,8.986975999960123,79.63783600007446,311564.0
1778035155,75,,Aggregated,25.000000,0.000000,44,51,54,56,62,64,67,68,80,80,80,113,0,44,39.51248019469118,6.550740999955451,79.63783600007446,311564.0
1778035156,100,,Aggregated,25.500000,0.000000,39,48,51,53,58,63,66,68,80,80,80,173,0,39,35.5415962138625,6.550740999955451,79.63783600007446,311564.0
1778035157,125,,Aggregated,29.666667,0.000000,35,45,50,52,58,63,66,67,80,80,80,250,0,35,33.015014423996035,6.550740999955451,79.63783600007446,311564.0
1778035158,150,,Aggregated,36.750000,0.000000,21,43,48,51,56,61,64,67,80,80,80,327,0,21,30.890133929656802,6.550740999955451,79.63783600007446,311564.0
1778035159,175,,Aggregated,41.000000,0.000000,20,41,48,51,56,60,64,66,80,80,80,426,0,20,29.586090323942365,6.550740999955451,79.63783600007446,311564.0
1778035160,200,,Aggregated,47.166667,0.000000,18,36,44,48,54,58,64,66,80,80,80,544,0,18,27.268406562498626,6.550740999955451,79.63783600007446,311564.0
1778035161,225,,Aggregated,52.428571,0.000000,17,31,41,45,52,57,62,64,80,80,80,668,0,17,25.65765801347027,5.5919050000738935,79.63783600007446,311564.0
1778035162,250,,Aggregated,57.625000,0.000000,16,29,41,45,54,62,78,81,87,87,87,807,0,16,26.008703204460907,5.5919050000738935,86.6799609998452,311564.0
1778035163,275,,Aggregated,64.444444,0.000000,15,21,39,44,53,60,77,81,87,87,87,963,0,15,24.61216632398812,5.5919050000738935,86.6799609998452,311564.0
1778035164,300,,Aggregated,70.900000,0.000000,14,19,37,44,54,60,73,80,86,87,87,1139,0,14,23.944974668130968,5.5919050000738935,86.6799609998452,311564.0
1778035165,325,,Aggregated,81.800000,0.000000,14,19,34,41,52,59,70,79,86,87,87,1301,0,14,23.008267365103926,5.5919050000738935,86.6799609998452,311564.0
1778035166,350,,Aggregated,95.300000,0.000000,14,18,32,40,52,57,68,79,86,87,87,1492,0,14,22.246179861259964,5.5919050000738935,86.6799609998452,311564.0
1778035167,350,,Aggregated,108.800000,0.000000,13,17,22,37,50,57,66,78,86,87,87,1654,0,13,21.201474992139506,5.5919050000738935,86.6799609998452,311564.0
1778035168,350,,Aggregated,119.500000,0.000000,13,16,20,33,49,55,64,77,86,87,87,1828,0,13,20.317479988512478,5.5919050000738935,86.6799609998452,311564.0
1778035169,350,,Aggregated,130.600000,0.000000,13,15,18,27,48,55,64,76,85,87,87,2008,0,13,19.574997727090484,5.098776000068028,86.6799609998452,311564.0
1778035170,350,,Aggregated,138.900000,0.000000,13,15,18,21,46,54,63,76,85,87,87,2181,0,13,18.981691780374312,5.098776000068028,86.6799609998452,311564.0
1778035171,350,,Aggregated,148.000000,0.000000,12,14,17,19,45,54,62,72,85,87,87,2342,0,12,18.465883031595556,5.098776000068028,86.6799609998452,311564.0
1778035172,350,,Aggregated,156.800000,0.000000,12,14,17,18,44,53,61,71,85,87,87,2520,0,12,18.001568246824583,5.098776000068028,86.6799609998452,311564.0
1778035173,350,,Aggregated,161.900000,0.000000,12,14,16,18,43,52,61,70,85,87,87,2687,0,12,17.627869520654777,5.098776000068028,86.6799609998452,311564.0
1778035174,350,,Aggregated,165.100000,0.000000,12,14,16,18,41,52,60,69,85,87,87,2869,0,12,17.246890371905057,5.098776000068028,86.6799609998452,311564.0
1778035175,350,,Aggregated,169.700000,0.000000,12,14,16,17,40,51,60,68,85,87,87,3039,0,12,16.916783459030512,5.013626999698317,86.6799609998452,311564.0
1778035176,350,,Aggregated,170.000000,0.000000,12,14,15,17,38,51,59,67,85,87,87,3217,0,12,16.61406437394863,5.0010390000352345,86.6799609998452,311564.0
1778035177,350,,Aggregated,170.800000,0.000000,12,14,15,17,36,50,58,66,85,87,87,3393,0,12,16.373275501029973,5.0010390000352345,86.6799609998452,311564.0
1778035178,350,,Aggregated,171.900000,0.000000,12,13,15,16,33,49,58,66,85,87,87,3566,0,12,16.11328429640822,5.0010390000352345,86.6799609998452,311564.0
1778035179,350,,Aggregated,172.500000,0.000000,12,13,15,16,32,48,57,64,85,87,87,3751,0,12,15.861896885894339,5.0010390000352345,86.6799609998452,311564.0
1778035180,350,,Aggregated,173.200000,0.000000,12,13,14,16,29,48,57,64,85,87,87,3918,0,12,15.676733272840004,5.0010390000352345,86.6799609998452,311564.0
1778035181,350,,Aggregated,173.100000,0.000000,12,13,14,16,25,47,57,64,84,87,87,4087,0,12,15.494571398577081,5.0010390000352345,86.6799609998452,311564.0
1778035182,350,,Aggregated,173.400000,0.000000,12,13,14,16,22,47,56,63,84,87,87,4252,0,12,15.32666520883916,5.0010390000352345,86.6799609998452,311564.0
1778035183,350,,Aggregated,173.800000,0.000000,12,13,14,15,21,46,56,63,84,87,87,4430,0,12,15.169846238371482,4.887087000042811,86.6799609998452,311564.0
1778035184,350,,Aggregated,174.300000,0.000000,12,13,14,15,20,45,55,62,84,87,87,4616,0,12,15.00724781303828,4.887087000042811,86.6799609998452,311564.0
1778035185,350,,Aggregated,172.500000,0.000000,12,13,14,15,20,45,55,62,84,87,87,4772,0,12,14.885465354984175,4.887087000042811,86.6799609998452,311564.0
1778035186,350,,Aggregated,174.100000,0.000000,12,13,14,15,19,44,55,62,84,87,87,4949,0,12,14.767767597288971,4.887087000042811,86.6799609998452,311564.0
1778035187,350,,Aggregated,173.900000,0.000000,12,13,14,15,19,44,55,61,83,87,87,5118,0,12,14.680498892337909,4.887087000042811,86.6799609998452,311564.0
1778035188,350,,Aggregated,171.800000,0.000000,12,13,14,15,19,43,54,61,83,87,87,5296,0,12,14.579500722805754,4.887087000042811,86.6799609998452,311564.0
1778035189,350,,Aggregated,172.800000,0.000000,12,13,14,15,18,42,54,61,83,87,87,5461,0,12,14.482458727334848,4.887087000042811,86.6799609998452,311564.0
1778035190,350,,Aggregated,172.000000,0.000000,12,13,14,15,18,42,54,60,83,87,87,5655,0,12,14.374470852693083,4.887087000042811,86.6799609998452,311564.0
1778035191,350,,Aggregated,172.800000,0.000000,12,13,14,15,18,41,54,60,83,87,87,5829,0,12,14.280520409844131,4.887087000042811,86.6799609998452,311564.0
1778035192,350,,Aggregated,170.700000,0.000000,12,13,14,15,18,40,54,60,83,87,87,6001,0,12,14.190631300447622,4.887087000042811,86.6799609998452,311564.0
1778035193,350,,Aggregated,172.300000,0.000000,12,13,14,15,18,39,54,59,83,87,87,6186,0,12,14.116293092950134,4.887087000042811,86.6799609998452,311564.0
1778035194,350,,Aggregated,173.100000,0.000000,12,13,14,14,18,39,53,59,83,87,87,6353,0,12,14.036278766092847,4.887087000042811,86.6799609998452,311564.0
1778035195,350,,Aggregated,174.300000,0.000000,12,13,14,14,18,38,53,59,83,87,87,6533,0,12,13.966461478491563,4.887087000042811,86.6799609998452,311564.0
1778035196,350,,Aggregated,175.300000,0.000000,11,13,14,14,18,36,52,58,83,87,87,6711,0,11,13.896587115628357,4.887087000042811,86.6799609998452,311564.0
1778035197,350,,Aggregated,173.300000,0.000000,11,13,14,14,18,35,52,58,83,87,87,6881,0,11,13.83987563362666,4.887087000042811,86.6799609998452,311564.0
