Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777434492,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777434493,12,,Aggregated,0.000000,0.000000,310,320,340,340,340,350,350,350,350,350,350,12,0,310,299.024323916683,191.02388500004963,354.6008470000288,436725.0
1777434494,24,,Aggregated,0.000000,0.000000,330,400,530,590,630,630,650,650,650,650,650,29,0,330,375.29917889655894,94.29978299999675,649.5746019998023,436725.0
1777434495,36,,Aggregated,0.000000,0.000000,310,350,350,400,620,630,650,650,650,650,650,47,0,310,324.27535000001046,94.29978299999675,649.5746019998023,436725.0
1777434496,48,,Aggregated,14.000000,0.000000,290,330,350,410,500,620,630,650,650,650,650,81,0,290,295.6407235061745,78.6173559999952,649.5746019998023,436725.0
1777434497,60,,Aggregated,15.666667,0.000000,290,350,420,460,500,590,630,630,650,650,650,107,0,290,304.0896819439297,73.84569900000315,649.5746019998023,436725.0
1777434498,72,,Aggregated,19.750000,0.000000,320,460,500,530,700,850,870,900,960,960,960,137,0,320,375.19647811678885,73.84569900000315,958.8141890001225,436725.0
1777434499,84,,Aggregated,20.200000,0.000000,420,550,660,700,820,870,920,950,960,960,960,172,0,410,448.9621852034901,73.84569900000315,958.8141890001225,436725.0
1777434500,96,,Aggregated,21.000000,0.000000,490,630,700,740,850,900,960,1000,1100,1100,1100,210,0,480,490.00120770952753,73.84569900000315,1056.5723490001346,436725.0
1777434501,108,,Aggregated,23.428571,0.000000,510,660,740,800,860,920,960,1000,1100,1100,1100,234,0,500,515.4399956068409,73.84569900000315,1056.5723490001346,436725.0
1777434502,120,,Aggregated,25.375000,0.000000,560,710,810,850,950,1100,1200,1400,1400,1400,1400,255,0,560,562.4588812039253,73.84569900000315,1375.1212980000673,436725.0
1777434503,132,,Aggregated,25.222222,0.000000,650,840,920,1000,1400,1700,1900,1900,2000,2000,2000,301,0,650,714.3719058239211,73.84569900000315,2023.1228220000048,436725.0
1777434504,144,,Aggregated,25.400000,0.000000,700,870,1100,1300,1700,1900,2000,2100,2200,2200,2200,327,0,700,793.7180850030587,73.84569900000315,2165.864005000003,436725.0
1777434505,156,,Aggregated,27.700000,0.000000,760,1100,1400,1700,1900,2100,2300,2300,2500,2500,2500,369,0,760,922.6882557262893,73.84569900000315,2464.350790000026,436725.0
1777434506,168,,Aggregated,29.400000,0.000000,820,1300,1700,1800,2100,2300,2400,2700,2900,2900,2900,397,0,820,1012.3175512191472,73.84569900000315,2889.441899000076,436725.0
1777434507,180,,Aggregated,32.100000,0.000000,870,1500,1800,1900,2300,2500,2800,2900,3100,3100,3100,435,0,870,1128.3116517057513,73.84569900000315,3094.3878110001606,436725.0
1777434508,192,,Aggregated,31.400000,0.000000,950,1700,1900,2100,2400,2700,2900,2900,3100,3100,3100,463,0,950,1212.2925976436343,73.84569900000315,3094.3878110001606,436725.0
1777434509,204,,Aggregated,33.000000,0.000000,1100,1700,2000,2200,2600,2900,3200,3400,3500,3500,3500,490,0,1100,1307.9696071898002,73.84569900000315,3520.875387999922,436725.0
1777434510,216,,Aggregated,33.400000,0.000000,1200,1900,2200,2400,2900,3400,3800,3800,4200,4200,4200,519,0,1200,1435.677426976882,73.84569900000315,4233.866546999934,436725.0
1777434511,228,,Aggregated,32.300000,0.000000,1300,2000,2300,2600,3300,3800,4000,4200,4600,4600,4600,545,0,1300,1556.1087386587187,73.84569900000315,4619.356113000094,436725.0
1777434512,240,,Aggregated,31.200000,0.000000,1500,2100,2500,2800,3700,4100,4600,4700,5100,5100,5100,570,0,1400,1680.0599890245635,73.84569900000315,5051.3899830000355,436725.0
1777434513,252,,Aggregated,31.400000,0.000000,1600,2200,2700,3100,4000,4600,5000,5100,5700,5700,5700,600,0,1600,1828.3723334566694,73.84569900000315,5719.376927999974,436725.0
1777434514,264,,Aggregated,31.400000,0.000000,1700,2400,3200,3700,4600,5100,5500,5800,6200,6200,6200,644,0,1700,2047.060327180127,73.84569900000315,6175.0378270000965,436725.0
1777434515,276,,Aggregated,30.500000,0.000000,1800,2600,3400,3900,4800,5200,5800,5900,6300,6300,6300,676,0,1800,2180.5546034437875,73.84569900000315,6347.301048999952,436725.0
1777434516,288,,Aggregated,31.900000,0.000000,1900,2800,3800,4200,5100,5600,5900,6200,6400,6400,6400,703,0,1900,2304.7111581479385,73.84569900000315,6438.6164039999585,436725.0
1777434517,300,,Aggregated,30.100000,0.000000,2000,3200,4000,4500,5400,5800,6300,6400,6700,6700,6700,741,0,2000,2465.010049823213,73.84569900000315,6741.997438999988,436725.0
1777434518,312,,Aggregated,30.700000,0.000000,2200,3500,4400,4800,5800,6100,6500,6700,7700,7700,7700,785,0,2200,2651.601716267518,73.84569900000315,7688.196994000009,436725.0
1777434519,324,,Aggregated,30.300000,0.000000,2300,3800,4600,5100,5800,6300,6500,6700,7700,7700,7700,823,0,2300,2797.9239597411924,73.84569900000315,7688.196994000009,436725.0
1777434520,336,,Aggregated,31.700000,0.000000,2400,4000,4800,5200,5900,6300,6500,6800,7700,7700,7700,854,0,2400,2897.847255747075,73.84569900000315,7688.196994000009,436725.0
1777434521,348,,Aggregated,32.700000,0.000000,2600,4300,5000,5400,6000,6400,6700,6800,7700,7700,7700,884,0,2600,2998.254406149325,73.84569900000315,7688.196994000009,436725.0
1777434522,360,,Aggregated,33.500000,0.000000,2800,4500,5200,5600,6100,6500,6800,6900,7700,7700,7700,925,0,2800,3131.332519137302,73.84569900000315,7688.196994000009,436725.0
1777434523,372,,Aggregated,33.500000,0.000000,3000,4700,5400,5800,6300,6700,6900,7000,7700,7700,7700,966,0,3000,3269.7828872805408,73.84569900000315,7688.196994000009,436725.0
1777434524,384,,Aggregated,35.100000,0.000000,3300,4900,5600,5900,6400,6700,7000,7200,7600,7700,7700,1006,0,3300,3394.8790262793254,73.84569900000315,7688.196994000009,436725.0
1777434525,396,,Aggregated,36.400000,0.000000,3500,5100,5700,6000,6500,6800,7000,7300,7600,7700,7700,1034,0,3500,3485.0220721170226,73.84569900000315,7688.196994000009,436725.0
1777434526,408,,Aggregated,36.100000,0.000000,3800,5200,5800,6100,6700,6900,7300,7400,7700,7800,7800,1069,0,3800,3598.4444318512656,73.84569900000315,7801.99834400014,436725.0
1777434527,420,,Aggregated,35.800000,0.000000,3900,5400,6000,6300,6800,7000,7400,7600,8000,8000,8000,1110,0,3900,3729.7328189252285,73.84569900000315,8019.910726000035,436725.0
1777434528,432,,Aggregated,36.000000,0.000000,4100,5600,6100,6400,6900,7400,7800,8000,8300,8400,8400,1151,0,4100,3871.1623699808893,73.84569900000315,8356.351395000047,436725.0
1777434529,444,,Aggregated,36.400000,0.000000,4300,5800,6300,6500,7000,7600,8000,8200,8300,8400,8400,1181,0,4300,3968.002218871297,73.84569900000315,8356.351395000047,436725.0
1777434530,456,,Aggregated,36.500000,0.000000,4500,5800,6400,6700,7300,7800,8300,8600,9200,9400,9400,1212,0,4500,4072.4479133778855,73.84569900000315,9419.95559499992,436725.0
