Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777434681,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777434682,12,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777434683,24,,Aggregated,0.000000,0.000000,970,970,970,970,970,970,970,970,970,970,970,1,0,970.8272940001734,970.8272940001734,970.8272940001734,970.8272940001734,436725.0
1777434684,36,,Aggregated,0.000000,0.000000,1500,1700,2400,2500,2700,2700,2700,2700,2700,2700,2700,36,0,1500,1516.8889821666573,482.270096999855,2688.7792400000308,165773.75
1777434685,48,,Aggregated,0.000000,0.000000,570,1500,1500,2100,2600,2700,2700,2700,2700,2700,2700,58,0,560,1002.5500586724075,36.097708999932365,2688.7792400000308,149412.9655172414
1777434686,60,,Aggregated,4.000000,0.000000,250,560,1300,1500,2400,2600,2700,2700,2700,2700,2700,89,0,250,708.1472641460713,31.635764000156996,2688.7792400000308,171871.70786516854
1777434687,72,,Aggregated,12.250000,0.000000,170,250,500,570,1500,2600,2700,2700,2700,2700,2700,140,0,170,485.3549085714267,30.76534799993169,2688.7792400000308,160950.35
1777434688,84,,Aggregated,15.400000,0.000000,120,210,260,480,1500,2400,2700,2700,2700,2700,2700,180,0,120,398.9199764555478,30.76534799993169,2688.7792400000308,154496.8388888889
1777434689,96,,Aggregated,19.166667,0.000000,130,230,260,320,970,2100,2600,2700,2700,2700,2700,231,0,130,355.88392390475855,30.76534799993169,2688.7792400000308,158752.08225108226
1777434690,108,,Aggregated,23.142857,0.000000,130,210,240,270,570,1500,2600,2700,2700,2700,2700,285,0,130,314.9281467649114,30.76534799993169,2688.7792400000308,167219.2947368421
1777434691,120,,Aggregated,25.125000,0.000000,150,210,240,270,550,1500,2600,2700,2700,2700,2700,338,0,150,299.7218213343172,30.76534799993169,2688.7792400000308,163791.8579881657
1777434692,132,,Aggregated,28.666667,0.000000,170,240,300,360,570,1500,2500,2700,2700,2700,2700,399,0,170,311.49436990977404,30.76534799993169,2688.7792400000308,166814.14536340852
1777434693,144,,Aggregated,31.100000,0.000000,190,260,340,390,570,1300,2400,2600,2700,2700,2700,441,0,190,318.72311770974943,30.76534799993169,2688.7792400000308,162107.40136054423
1777434694,156,,Aggregated,36.000000,0.000000,220,320,420,500,810,1400,2400,2600,2700,2700,2700,492,0,220,366.50950122764215,30.76534799993169,2688.7792400000308,159182.52845528454
1777434695,168,,Aggregated,41.500000,0.000000,240,400,550,690,900,1500,2400,2600,2700,2700,2700,548,0,240,427.81858305656937,30.76534799993169,2688.7792400000308,156396.97445255474
1777434696,180,,Aggregated,44.600000,0.000000,270,470,690,770,1200,1900,2400,2600,2700,2700,2700,602,0,260,492.3006742607971,30.76534799993169,2688.7792400000308,157914.40697674418
1777434697,192,,Aggregated,46.500000,0.000000,310,550,770,830,1400,2100,2500,2600,2800,2800,2800,651,0,310,540.9434993702004,30.76534799993169,2799.4026280000526,155180.45314900155
1777434698,204,,Aggregated,49.200000,0.000000,350,690,830,920,1600,2400,2700,2900,3200,3200,3200,700,0,350,615.641987015715,30.76534799993169,3249.277052999787,158633.11
1777434699,216,,Aggregated,50.500000,0.000000,410,770,940,1100,1800,2500,2900,3100,3500,3500,3500,763,0,410,690.2589088060307,30.76534799993169,3463.105922000068,155496.85452162515
1777434700,228,,Aggregated,51.300000,0.000000,460,830,1100,1200,1900,2600,3000,3200,4100,4100,4100,810,0,450,748.5780190629661,30.76534799993169,4126.460133000137,152748.94320987654
1777434701,240,,Aggregated,53.500000,0.000000,540,900,1200,1300,2100,2800,3400,3600,4100,4100,4100,863,0,540,827.0905669536521,30.76534799993169,4126.460133000137,153234.44380069524
1777434702,252,,Aggregated,52.800000,0.000000,630,1000,1300,1500,2200,2900,3600,4000,4600,4600,4600,924,0,630,900.9663365790072,30.76534799993169,4621.251817000029,151277.96103896105
1777434703,264,,Aggregated,52.500000,0.000000,720,1100,1400,1600,2400,3100,3900,4100,4700,4700,4700,973,0,720,970.6609910863332,30.76534799993169,4745.360599000151,150615.74409044193
1777434704,276,,Aggregated,52.500000,0.000000,780,1300,1500,1700,2600,3500,4200,4400,5200,5500,5500,1038,0,780,1063.3146208121393,30.76534799993169,5476.51259700001,151305.4845857418
1777434705,288,,Aggregated,53.000000,0.000000,830,1300,1600,1800,2700,3800,4400,4700,5200,5500,5500,1096,0,830,1141.0968460337608,30.76534799993169,5476.51259700001,151208.76824817518
1777434706,300,,Aggregated,54.600000,0.000000,890,1500,1700,1900,2900,3900,4400,4900,5300,5500,5500,1147,0,890,1210.9942144551017,30.76534799993169,5476.51259700001,151148.689625109
1777434707,312,,Aggregated,54.800000,0.000000,970,1500,1800,2100,3000,4000,4700,5100,5700,5700,5700,1204,0,960,1278.2448754701004,30.76534799993169,5712.345967999909,149816.83554817276
1777434708,324,,Aggregated,55.600000,0.000000,1100,1600,1900,2200,3100,4100,4800,5200,6000,6300,6300,1255,0,1100,1339.5753592143435,30.76534799993169,6325.830529999848,148847.1282868526
1777434709,336,,Aggregated,55.100000,0.000000,1100,1700,2100,2300,3300,4300,5100,5500,6300,6500,6500,1305,0,1100,1419.97602391341,30.76534799993169,6520.1989610000055,150846.5938697318
