Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778035727,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778035728,25,,Aggregated,0.000000,0.000000,82,89,91,97,98,110,110,110,110,110,110,25,0,82,78.94647068005725,47.26098099945375,110.96440899927984,1030845.0
1778035729,50,,Aggregated,0.000000,0.000000,67,80,83,86,95,98,110,110,110,110,110,60,0,65,64.83317331668938,16.045493000092392,110.96440899927984,1030845.0
1778035730,75,,Aggregated,25.000000,0.000000,60,76,84,88,98,110,110,110,110,110,110,116,0,60,58.61729018965105,11.337565999383514,113.74351999984356,1030845.0
1778035731,100,,Aggregated,27.500000,0.000000,57,71,80,86,95,100,110,110,110,110,110,170,0,56,54.847113382348816,11.045718999412202,113.74351999984356,1030845.0
1778035732,125,,Aggregated,34.000000,0.000000,48,67,80,84,96,100,110,110,120,120,120,250,0,47,51.645269267988624,11.045718999412202,117.30708799950662,1030845.0
1778035733,150,,Aggregated,39.500000,0.000000,38,65,76,81,93,100,110,110,120,120,120,332,0,37,49.31954304817945,10.276474999955099,117.30708799950662,1030845.0
1778035734,175,,Aggregated,46.400000,0.000000,31,60,73,78,91,98,110,110,120,120,120,432,0,30,45.62733274536236,8.166624999830674,117.30708799950662,1030845.0
1778035735,200,,Aggregated,52.333333,0.000000,28,57,69,76,89,97,110,110,120,120,120,531,0,28,43.92287971751255,8.166624999830674,117.30708799950662,1030845.0
1778035736,225,,Aggregated,57.428571,0.000000,28,53,65,74,88,97,100,110,120,120,120,670,0,28,42.20207786268597,8.166624999830674,117.30708799950662,1030845.0
1778035737,250,,Aggregated,62.375000,0.000000,27,48,64,73,86,96,100,110,120,120,120,792,0,27,41.34500240656342,8.166624999830674,117.30708799950662,1030845.0
